batch,i,z1_nomatch,z2_match,m,gap
0,0,-0.191129,-0.067194,-0.129162,0.123936
0,1,2.923444,-2.856680,0.033382,-5.780124
0,2,0.143821,-0.035090,0.054366,-0.178911
0,3,1.953823,-1.858440,0.047691,-3.812263
0,4,3.993834,-3.871910,0.060962,-7.865744
0,5,0.227440,-0.114466,0.056487,-0.341906
0,6,1.644437,-1.459753,0.092342,-3.104190
0,7,1.084555,-0.842530,0.121012,-1.927084
0,8,-0.378462,0.347395,-0.015534,0.725857
0,9,0.662138,-0.621832,0.020153,-1.283970
0,10,3.909432,-3.839840,0.034796,-7.749272
0,11,1.359213,-1.260824,0.049195,-2.620037
0,12,3.074829,-3.057119,0.008855,-6.131948
0,13,0.655866,-0.460107,0.097879,-1.115974
0,14,3.180882,-2.933731,0.123576,-6.114613
0,15,1.888440,-1.736282,0.076079,-3.624722
0,16,2.382537,-2.408336,-0.012899,-4.790873
0,17,1.431336,-1.377228,0.027054,-2.808564
0,18,3.841570,-3.785028,0.028271,-7.626597
0,19,3.703476,-3.459723,0.121876,-7.163199
0,20,-0.397294,0.239901,-0.078696,0.637195
0,21,1.090765,-0.990459,0.050153,-2.081223
0,22,3.975324,-3.883318,0.046003,-7.858643
0,23,0.635723,-0.359938,0.137893,-0.995660
0,24,3.184911,-3.038431,0.073240,-6.223341
0,25,3.998581,-4.001832,-0.001625,-8.000413
0,26,0.311817,-0.338542,-0.013362,-0.650359
0,27,2.834632,-2.973410,-0.069389,-5.808042
0,28,2.244212,-2.380193,-0.067991,-4.624405
0,29,3.028711,-2.791418,0.118647,-5.820129
0,30,3.879402,-3.718377,0.080512,-7.597779
0,31,2.771972,-2.744886,0.013543,-5.516858
0,32,3.712612,-3.741720,-0.014554,-7.454333
0,33,1.019562,-1.130553,-0.055496,-2.150114
0,34,2.947948,-2.839035,0.054457,-5.786983
0,35,4.074456,-4.002223,0.036116,-8.076679
0,36,3.635357,-3.585158,0.025099,-7.220515
0,37,0.424611,-0.393137,0.015737,-0.817748
0,38,0.657749,-0.493073,0.082338,-1.150822
0,39,2.741880,-2.822541,-0.040331,-5.564421
1,0,3.764163,-3.765764,-0.000800,-7.529927
1,1,2.285211,-2.154157,0.065527,-4.439368
1,2,1.340742,-1.319285,0.010729,-2.660027
1,3,-0.409799,0.728886,0.159543,1.138685
1,4,2.340853,-2.184752,0.078051,-4.525605
1,5,3.926894,-3.843501,0.041696,-7.770396
1,6,3.971241,-3.947703,0.011769,-7.918944
1,7,1.606454,-1.452413,0.077021,-3.058867
1,8,0.747151,-0.381014,0.183068,-1.128165
1,9,3.985048,-3.840588,0.072230,-7.825635
1,10,3.870703,-3.899869,-0.014583,-7.770572
1,11,2.358530,-2.346262,0.006134,-4.704792
1,12,0.740211,-0.694157,0.023027,-1.434368
1,13,3.407595,-3.409186,-0.000795,-6.816781
1,14,1.626921,-1.445706,0.090608,-3.072628
1,15,3.837324,-3.781005,0.028160,-7.618329
1,16,1.542043,-1.578837,-0.018397,-3.120880
1,17,0.373883,-0.401966,-0.014042,-0.775849
1,18,2.002727,-1.906928,0.047900,-3.909654
1,19,0.183247,-0.080191,0.051528,-0.263438
1,20,2.332117,-2.203166,0.064475,-4.535283
1,21,1.081542,-1.243849,-0.081153,-2.325391
1,22,2.354597,-2.347476,0.003561,-4.702072
1,23,-0.435939,0.461973,0.013017,0.897912
1,24,1.318619,-1.141376,0.088622,-2.459995
1,25,0.223982,0.096535,0.160259,-0.127447
1,26,1.634253,-1.497834,0.068209,-3.132088
1,27,0.634087,-0.588153,0.022967,-1.222240
1,28,2.329509,-2.194643,0.067433,-4.524152
1,29,2.571438,-2.504345,0.033547,-5.075783
1,30,3.774866,-3.906421,-0.065778,-7.681287
1,31,0.231392,-0.137018,0.047187,-0.368409
1,32,1.164010,-1.211183,-0.023586,-2.375193
1,33,0.437380,-0.420297,0.008541,-0.857677
1,34,0.487710,-0.403208,0.042251,-0.890918
1,35,3.071290,-2.875790,0.097750,-5.947080
1,36,0.183099,0.030601,0.106850,-0.152498
1,37,1.547247,-1.446167,0.050540,-2.993414
1,38,1.148751,-0.892750,0.128000,-2.041501
1,39,1.053099,-0.902014,0.075543,-1.955113
2,0,3.245559,-3.101597,0.071981,-6.347155
2,1,1.603534,-1.459607,0.071964,-3.063141
2,2,3.271132,-3.148021,0.061556,-6.419153
2,3,2.288672,-2.023876,0.132398,-4.312548
2,4,0.621736,-0.525586,0.048075,-1.147322
2,5,1.593752,-1.229669,0.182042,-2.823421
2,6,1.786104,-1.684062,0.051021,-3.470166
2,7,1.352132,-1.408193,-0.028030,-2.760325
2,8,2.556290,-2.564542,-0.004126,-5.120832
2,9,1.871848,-1.784640,0.043604,-3.656488
2,10,3.240165,-3.035770,0.102197,-6.275935
2,11,3.971640,-3.903635,0.034003,-7.875275
2,12,1.284818,-1.260006,0.012406,-2.544824
2,13,0.747904,-0.669303,0.039300,-1.417206
2,14,1.151467,-1.161267,-0.004900,-2.312734
2,15,0.243236,-0.139339,0.051949,-0.382575
2,16,3.756777,-3.687243,0.034767,-7.444020
2,17,2.996537,-2.773845,0.111346,-5.770382
2,18,1.040993,-0.879439,0.080777,-1.920432
2,19,1.601222,-1.442031,0.079596,-3.043253
2,20,2.474133,-2.367720,0.053206,-4.841854
2,21,2.068806,-1.892928,0.087939,-3.961734
2,22,0.193058,-0.155444,0.018807,-0.348502
2,23,1.841231,-1.977914,-0.068342,-3.819145
2,24,1.725965,-1.867942,-0.070988,-3.593907
2,25,0.553953,-0.427479,0.063237,-0.981432
2,26,1.977333,-1.779282,0.099025,-3.756615
2,27,3.576183,-3.562017,0.007083,-7.138200
2,28,1.573005,-1.470310,0.051348,-3.043316
2,29,3.527218,-3.511857,0.007681,-7.039075
2,30,3.775199,-3.681031,0.047084,-7.456230
2,31,2.286312,-2.062922,0.111695,-4.349234
2,32,3.768156,-3.837789,-0.034817,-7.605945
2,33,0.247952,-0.229686,0.009133,-0.477638
2,34,3.444432,-3.288658,0.077887,-6.733089
2,35,3.042345,-3.087033,-0.022344,-6.129378
2,36,2.114146,-1.949964,0.082091,-4.064110
2,37,3.756818,-3.760110,-0.001646,-7.516928
2,38,2.793993,-2.810213,-0.008110,-5.604206
2,39,0.665392,-0.698137,-0.016372,-1.363528
3,0,0.902144,-1.099209,-0.098533,-2.001353
3,1,1.961222,-1.786743,0.087239,-3.747965
3,2,0.366128,-0.340170,0.012979,-0.706298
3,3,0.195533,-0.280477,-0.042472,-0.476010
3,4,-0.577871,0.745324,0.083726,1.323195
3,5,2.902704,-2.759173,0.071766,-5.661877
3,6,1.548413,-1.347968,0.100223,-2.896381
3,7,-1.622320,1.822676,0.100178,3.444996
3,8,2.113947,-2.152186,-0.019119,-4.266134
3,9,3.324172,-3.339836,-0.007832,-6.664008
3,10,0.794725,-0.741869,0.026428,-1.536594
3,11,0.832238,-0.793902,0.019168,-1.626140
3,12,3.806492,-3.926611,-0.060060,-7.733103
3,13,0.322121,-0.102639,0.109741,-0.424760
3,14,0.216208,-0.012454,0.101877,-0.228662
3,15,2.345040,-2.267857,0.038592,-4.612897
3,16,0.435318,-0.645295,-0.104989,-1.080613
3,17,0.930241,-0.945125,-0.007442,-1.875365
3,18,2.588044,-2.565639,0.011203,-5.153684
3,19,1.258789,-1.119387,0.069701,-2.378176
3,20,3.622483,-3.627522,-0.002519,-7.250005
3,21,3.807932,-3.865690,-0.028879,-7.673622
3,22,2.449358,-2.424366,0.012496,-4.873724
3,23,-0.465670,0.536968,0.035649,1.002638
3,24,3.843958,-3.772567,0.035695,-7.616525
3,25,1.665760,-1.501420,0.082170,-3.167180
3,26,2.704547,-2.643683,0.030432,-5.348230
3,27,3.325454,-3.260704,0.032375,-6.586158
3,28,3.340335,-3.400445,-0.030055,-6.740780
