batch,i,z1_nomatch,z2_match,m,gap
0,0,-1.088150,1.070264,-0.008943,2.158414
0,1,-2.449437,2.562144,0.056354,5.011581
0,2,-0.745124,0.597533,-0.073795,1.342657
0,3,0.525690,-0.513472,0.006109,-1.039161
0,4,-1.714906,1.968529,0.126811,3.683435
0,5,0.687518,-0.718567,-0.015525,-1.406084
0,6,-0.922989,1.164134,0.120573,2.087123
0,7,-0.872982,1.101462,0.114240,1.974444
0,8,0.397355,-0.453429,-0.028037,-0.850785
0,9,-0.371302,0.540483,0.084590,0.911785
0,10,-1.385165,1.520773,0.067804,2.905938
0,11,-0.424080,0.457510,0.016715,0.881590
0,12,-0.664009,0.696230,0.016110,1.360239
0,13,-0.505794,0.700525,0.097365,1.206319
0,14,-0.949696,1.149444,0.099874,2.099140
0,15,-1.107000,1.434167,0.163583,2.541167
0,16,-1.974617,1.960805,-0.006906,3.935422
0,17,-0.306595,0.380380,0.036893,0.686975
0,18,-1.881284,2.187846,0.153281,4.069130
0,19,-0.428304,0.650809,0.111253,1.079113
0,20,0.426376,-0.536815,-0.055219,-0.963191
0,21,0.457848,-0.322548,0.067650,-0.780396
0,22,-1.701332,1.800503,0.049585,3.501835
0,23,-0.071944,0.121295,0.024676,0.193240
0,24,-0.519176,0.467895,-0.025641,0.987071
0,25,-1.470513,1.463869,-0.003322,2.934382
0,26,-2.211481,2.354675,0.071597,4.566156
0,27,-1.819911,1.603526,-0.108193,3.423437
0,28,-0.707673,0.659541,-0.024066,1.367214
0,29,-1.329912,1.461912,0.066000,2.791824
0,30,-0.451955,0.666576,0.107310,1.118531
0,31,0.502718,-0.385817,0.058451,-0.888535
0,32,-1.306040,1.319705,0.006833,2.625745
0,33,-0.061591,-0.055413,-0.058502,0.006178
0,34,-1.724257,1.876411,0.076077,3.600667
0,35,-3.028691,2.979249,-0.024721,6.007940
0,36,-1.658128,1.840694,0.091283,3.498822
0,37,-0.344516,0.323099,-0.010708,0.667615
0,38,-0.664248,0.845177,0.090464,1.509426
0,39,-1.656811,1.698664,0.020927,3.355475
1,0,-3.132271,3.187777,0.027753,6.320048
1,1,-0.067042,0.084756,0.008857,0.151798
1,2,-1.799388,2.033080,0.116846,3.832468
1,3,-1.336229,1.458663,0.061217,2.794892
1,4,-1.479660,1.601834,0.061087,3.081493
1,5,0.611402,-0.496320,0.057541,-1.107722
1,6,-1.996539,1.994084,-0.001228,3.990623
1,7,-3.021474,3.265141,0.121834,6.286615
1,8,0.002545,0.224763,0.113654,0.222218
1,9,-1.879273,2.037578,0.079152,3.916851
1,10,-1.545001,1.527252,-0.008874,3.072253
1,11,-1.128789,1.138106,0.004659,2.266896
1,12,0.141203,-0.112612,0.014295,-0.253815
1,13,-0.185476,0.104857,-0.040310,0.290333
1,14,1.302389,-1.201498,0.050446,-2.503887
1,15,-2.951321,3.061689,0.055184,6.013010
1,16,-0.978279,1.077200,0.049461,2.055479
1,17,0.822549,-0.801966,0.010292,-1.624515
1,18,-0.493697,0.648295,0.077299,1.141992
1,19,0.991579,-1.155305,-0.081863,-2.146883
1,20,-1.181338,1.227543,0.023103,2.408881
1,21,-0.544758,0.406867,-0.068945,0.951625
1,22,-0.856795,1.009711,0.076458,1.866506
1,23,1.020659,-1.017647,0.001506,-2.038306
1,24,0.007856,0.069644,0.038750,0.061788
1,25,0.288050,-0.124032,0.082009,-0.412082
1,26,-1.094318,1.208275,0.056979,2.302593
1,27,-0.148808,0.290986,0.071089,0.439793
1,28,-1.220462,1.432844,0.106191,2.653306
1,29,-0.613666,0.650254,0.018294,1.263920
1,30,0.440656,-0.553146,-0.056245,-0.993803
1,31,-0.483689,0.590730,0.053521,1.074418
1,32,-1.137726,1.127010,-0.005358,2.264736
1,33,-1.245974,1.159420,-0.043277,2.405393
1,34,0.378750,-0.177946,0.100402,-0.556696
1,35,0.328293,0.017805,0.173049,-0.310488
1,36,0.678791,-0.626543,0.026124,-1.305335
1,37,-0.036827,0.247498,0.105336,0.284325
1,38,-0.831816,1.143361,0.155772,1.975177
1,39,-0.527487,0.810383,0.141448,1.337870
2,0,-1.849134,2.133072,0.141969,3.982206
2,1,-0.738672,0.829653,0.045491,1.568325
2,2,-1.959123,2.055760,0.048319,4.014883
2,3,-0.053927,0.318501,0.132287,0.372427
2,4,0.909657,-0.747573,0.081042,-1.657229
2,5,-0.874945,1.237075,0.181065,2.112020
2,6,0.199097,-0.101106,0.048996,-0.300203
2,7,-0.210555,0.109430,-0.050563,0.319984
2,8,-0.100111,0.064417,-0.017847,0.164528
2,9,-0.516475,0.500006,-0.008234,1.016481
