batch,i,z1_nomatch,z2_match,m,gap
0,0,0.923008,-0.939684,-0.008338,-1.862692
0,1,0.368274,-0.376879,-0.004303,-0.745153
0,2,0.174663,-0.178026,-0.001681,-0.352689
0,3,0.191140,-0.196374,-0.002617,-0.387514
0,4,1.533596,-1.549555,-0.007980,-3.083152
0,5,0.137564,-0.151983,-0.007210,-0.289547
0,6,1.397921,-1.417235,-0.009657,-2.815156
0,7,0.853422,-0.875631,-0.011105,-1.729053
0,8,0.710359,-0.730806,-0.010224,-1.441165
0,9,1.809242,-1.823612,-0.007185,-3.632855
0,10,4.305048,-4.336825,-0.015889,-8.641873
0,11,2.923145,-2.952522,-0.014689,-5.875667
0,12,3.405569,-3.429493,-0.011962,-6.835062
0,13,-0.015941,0.009260,-0.003340,0.025201
0,14,0.808684,-0.824718,-0.008017,-1.633402
0,15,0.642812,-0.657158,-0.007173,-1.299970
0,16,0.776378,-0.806679,-0.015150,-1.583057
0,17,0.090570,-0.098784,-0.004107,-0.189354
0,18,3.314862,-3.346977,-0.016057,-6.661839
0,19,0.556210,-0.563413,-0.003602,-1.119623
0,20,-0.097995,0.095296,-0.001349,0.193291
0,21,1.034999,-1.038454,-0.001727,-2.073454
0,22,3.520981,-3.559224,-0.019122,-7.080205
0,23,0.122696,-0.135136,-0.006220,-0.257832
0,24,1.746594,-1.765347,-0.009376,-3.511941
0,25,1.730340,-1.766283,-0.017972,-3.496623
0,26,5.984437,-6.024233,-0.019898,-12.008670
0,27,2.655396,-2.687296,-0.015950,-5.342693
0,28,3.547582,-3.588420,-0.020419,-7.136002
0,29,1.752749,-1.756613,-0.001932,-3.509363
0,30,2.143971,-2.194895,-0.025462,-4.338867
0,31,5.235255,-5.270081,-0.017413,-10.505336
0,32,-1.161234,1.144028,-0.008603,2.305263
0,33,0.462219,-0.500535,-0.019158,-0.962754
0,34,-0.098823,0.071969,-0.013427,0.170792
0,35,1.085754,-1.099399,-0.006822,-2.185153
0,36,-1.164487,1.168236,0.001874,2.332724
0,37,1.492085,-1.519505,-0.013710,-3.011590
0,38,6.065028,-6.095207,-0.015090,-12.160235
0,39,2.520034,-2.541430,-0.010698,-5.061464
1,0,3.102312,-3.128024,-0.012856,-6.230336
1,1,1.727848,-1.755208,-0.013680,-3.483056
1,2,-1.054735,1.053475,-0.000630,2.108209
1,3,1.044177,-1.067873,-0.011848,-2.112050
1,4,0.265507,-0.272250,-0.003371,-0.537757
1,5,2.029683,-2.050893,-0.010605,-4.080576
1,6,4.596826,-4.637244,-0.020209,-9.234070
1,7,2.633117,-2.669200,-0.018041,-5.302316
1,8,1.172108,-1.188701,-0.008297,-2.360808
1,9,1.926932,-1.942788,-0.007928,-3.869720
1,10,-0.119653,0.108521,-0.005566,0.228174
1,11,1.641507,-1.669297,-0.013895,-3.310804
1,12,-0.266661,0.258709,-0.003976,0.525370
1,13,3.608400,-3.645742,-0.018671,-7.254142
1,14,1.951885,-1.979904,-0.014010,-3.931790
1,15,2.088179,-2.123165,-0.017493,-4.211343
1,16,1.394401,-1.413049,-0.009324,-2.807449
1,17,1.246495,-1.258637,-0.006071,-2.505132
1,18,1.503564,-1.525551,-0.010993,-3.029115
1,19,-0.272089,0.274761,0.001336,0.546850
1,20,3.191433,-3.219018,-0.013793,-6.410451
1,21,2.841002,-2.871726,-0.015362,-5.712729
1,22,5.201252,-5.234387,-0.016568,-10.435639
1,23,0.662367,-0.686919,-0.012276,-1.349286
1,24,0.971034,-0.985077,-0.007022,-1.956110
1,25,-1.342905,1.335783,-0.003561,2.678688
1,26,0.616777,-0.640310,-0.011766,-1.257087
1,27,-0.198460,0.188271,-0.005094,0.386731
1,28,2.280234,-2.322142,-0.020954,-4.602376
1,29,1.054272,-1.066061,-0.005894,-2.120333
1,30,0.452528,-0.458964,-0.003218,-0.911492
1,31,0.685595,-0.694002,-0.004204,-1.379598
1,32,3.203222,-3.217438,-0.007108,-6.420660
1,33,-0.104534,0.080904,-0.011815,0.185438
1,34,1.091722,-1.112034,-0.010156,-2.203756
1,35,2.119580,-2.146611,-0.013516,-4.266191
1,36,-0.235259,0.231344,-0.001957,0.466604
1,37,-2.033588,2.017169,-0.008210,4.050757
1,38,2.210445,-2.237737,-0.013646,-4.448183
1,39,1.216214,-1.245737,-0.014761,-2.461951
2,0,-0.657160,0.641155,-0.008002,1.298315
2,1,0.429533,-0.445157,-0.007812,-0.874690
2,2,0.820220,-0.847754,-0.013767,-1.667974
2,3,1.184910,-1.206335,-0.010713,-2.391245
2,4,0.777635,-0.797384,-0.009874,-1.575019
2,5,0.369110,-0.372988,-0.001939,-0.742098
2,6,-0.682200,0.679482,-0.001359,1.361683
2,7,0.607808,-0.624513,-0.008352,-1.232321
2,8,4.240439,-4.273346,-0.016453,-8.513785
2,9,0.972906,-0.980274,-0.003684,-1.953180
2,10,0.192534,-0.208855,-0.008161,-0.401390
2,11,2.216193,-2.251163,-0.017485,-4.467356
2,12,0.804151,-0.832634,-0.014241,-1.636786
2,13,2.969502,-3.005133,-0.017815,-5.974636
2,14,0.187410,-0.208276,-0.010433,-0.395686
2,15,-0.139891,0.119351,-0.010270,0.259242
2,16,3.066271,-3.094930,-0.014329,-6.161201
2,17,3.290353,-3.340089,-0.024868,-6.630442
2,18,3.397802,-3.418673,-0.010436,-6.816475
2,19,2.063513,-2.084047,-0.010267,-4.147560
2,20,2.804216,-2.827606,-0.011695,-5.631823
2,21,1.503701,-1.529427,-0.012863,-3.033128
2,22,3.285182,-3.315244,-0.015031,-6.600427
2,23,1.724269,-1.740049,-0.007890,-3.464318
2,24,0.794991,-0.812156,-0.008582,-1.607147
2,25,5.704690,-5.742347,-0.018828,-11.447037
2,26,3.103998,-3.128087,-0.012045,-6.232085
2,27,3.839044,-3.870558,-0.015757,-7.709602
2,28,2.196309,-2.225021,-0.014356,-4.421329
2,29,3.228170,-3.257847,-0.014838,-6.486018
2,30,1.048477,-1.064688,-0.008106,-2.113165
2,31,1.692154,-1.706087,-0.006967,-3.398241
2,32,-0.298693,0.285567,-0.006563,0.584261
2,33,-1.272544,1.271224,-0.000660,2.543768
2,34,3.960392,-3.996983,-0.018296,-7.957374
2,35,0.739685,-0.749062,-0.004688,-1.488748
2,36,0.413484,-0.424534,-0.005525,-0.838018
2,37,2.369750,-2.381975,-0.006112,-4.751726
2,38,1.273689,-1.290254,-0.008283,-2.563942
2,39,-1.502530,1.503883,0.000677,3.006413
3,0,0.589356,-0.612965,-0.011804,-1.202320
3,1,-0.689788,0.673171,-0.008309,1.362959
3,2,0.752359,-0.766148,-0.006895,-1.518507
3,3,-2.008550,2.010663,0.001056,4.019213
3,4,-0.838320,0.842279,0.001979,1.680600
3,5,-0.084854,0.077715,-0.003570,0.162569
3,6,0.421436,-0.437488,-0.008026,-0.858924
3,7,0.781973,-0.786071,-0.002049,-1.568044
3,8,0.018841,-0.030547,-0.005853,-0.049388
3,9,1.814107,-1.828403,-0.007148,-3.642510
