tau,max_prob,pos_prob,norm_entropy,argmax_eq_diag
0.020,0.6064,0.4809,0.3825,0.5867
0.021,0.5887,0.4708,0.4039,0.5867
0.022,0.5714,0.4605,0.4250,0.5867
0.023,0.5543,0.4500,0.4459,0.5867
0.024,0.5376,0.4393,0.4664,0.5867
0.025,0.5211,0.4286,0.4866,0.5867
0.026,0.5051,0.4178,0.5063,0.5867
0.027,0.4893,0.4070,0.5256,0.5867
0.028,0.4740,0.3962,0.5443,0.5867
0.029,0.4590,0.3854,0.5626,0.5867
0.030,0.4444,0.3748,0.5804,0.5867
0.031,0.4302,0.3643,0.5976,0.5867
0.032,0.4164,0.3539,0.6143,0.5867
0.033,0.4030,0.3437,0.6303,0.5867
0.034,0.3900,0.3336,0.6458,0.5867
0.035,0.3775,0.3238,0.6608,0.5867
0.036,0.3653,0.3143,0.6751,0.5867
0.037,0.3536,0.3049,0.6889,0.5867
0.038,0.3422,0.2958,0.7022,0.5867
0.039,0.3313,0.2870,0.7149,0.5867
0.040,0.3208,0.2784,0.7270,0.5867
