batch,i,z1_nomatch,z2_match,m,gap
0,0,-0.283982,0.297807,0.006912,0.581789
0,1,3.866336,-3.743170,0.061583,-7.609506
0,2,-0.397294,0.239901,-0.078696,0.637195
0,3,0.873602,-0.870776,0.001413,-1.744378
0,4,2.782609,-2.738189,0.022210,-5.520798
0,5,0.397355,-0.453429,-0.028037,-0.850785
0,6,3.594071,-3.582747,0.005662,-7.176818
0,7,3.346160,-3.211148,0.067506,-6.557308
0,8,1.431336,-1.377228,0.027054,-2.808564
0,9,1.953641,-1.824411,0.064615,-3.778052
0,10,3.489510,-3.476624,0.006443,-6.966133
0,11,3.315520,-3.225340,0.045090,-6.540861
0,12,0.311817,-0.338542,-0.013362,-0.650359
0,13,-0.662401,0.777319,0.057459,1.439719
0,14,1.644437,-1.459753,0.092342,-3.104190
0,15,0.932500,-0.636253,0.148123,-1.568752
0,16,0.424611,-0.393137,0.015737,-0.817748
0,17,-0.378462,0.347395,-0.015534,0.725857
0,18,3.537416,-3.531217,0.003100,-7.068633
0,19,1.914543,-1.891945,0.011299,-3.806488
0,20,1.117119,-1.153164,-0.018022,-2.270283
0,21,1.578577,-1.334883,0.121847,-2.913460
0,22,2.296433,-2.254430,0.021002,-4.550863
0,23,0.423861,-0.389879,0.016991,-0.813740
0,24,1.180675,-1.244439,-0.031882,-2.425115
0,25,4.037253,-4.018720,0.009266,-8.055973
0,26,3.345777,-3.264730,0.040523,-6.610508
0,27,3.695727,-3.707706,-0.005990,-7.403433
0,28,4.033566,-3.998806,0.017380,-8.032372
0,29,2.574528,-2.591398,-0.008435,-5.165926
0,30,1.020994,-0.855191,0.082901,-1.876184
0,31,3.590838,-3.539793,0.025522,-7.130631
0,32,3.174747,-3.200845,-0.013049,-6.375592
0,33,1.224655,-1.198935,0.012860,-2.423590
0,34,0.635723,-0.359938,0.137893,-0.995660
0,35,3.574826,-3.638036,-0.031605,-7.212862
0,36,0.655866,-0.460107,0.097879,-1.115974
0,37,3.562572,-3.570028,-0.003728,-7.132600
0,38,3.826584,-3.747405,0.039590,-7.573989
0,39,3.776542,-3.601283,0.087629,-7.377825
1,0,3.995743,-3.937115,0.029314,-7.932858
1,1,2.441821,-2.341332,0.050245,-4.783154
1,2,0.478408,-0.294088,0.092160,-0.772497
1,3,1.030697,-1.003881,0.013408,-2.034578
1,4,3.161091,-3.090329,0.035381,-6.251420
1,5,2.340853,-2.184752,0.078051,-4.525605
1,6,3.932979,-3.802598,0.065191,-7.735576
1,7,3.505008,-3.373831,0.065588,-6.878839
1,8,0.493429,-0.526175,-0.016373,-1.019604
1,9,2.060447,-1.932343,0.064052,-3.992790
1,10,1.221334,-1.055036,0.083149,-2.276371
1,11,3.073726,-2.959967,0.056879,-6.033694
1,12,3.139017,-2.964577,0.087220,-6.103594
1,13,3.228704,-3.260198,-0.015747,-6.488902
1,14,0.437380,-0.420297,0.008541,-0.857677
1,15,3.715945,-3.556226,0.079859,-7.272171
1,16,0.634087,-0.588153,0.022967,-1.222240
1,17,0.084510,0.099632,0.092071,0.015122
1,18,2.838431,-2.629019,0.104706,-5.467450
1,19,1.340742,-1.319285,0.010729,-2.660027
1,20,4.013385,-3.922078,0.045653,-7.935463
1,21,3.728593,-3.694085,0.017254,-7.422678
1,22,0.183247,-0.080191,0.051528,-0.263438
1,23,0.515763,-0.579930,-0.032083,-1.095693
1,24,0.335729,-0.255810,0.039960,-0.591540
1,25,1.053099,-0.902014,0.075543,-1.955113
1,26,0.487710,-0.403208,0.042251,-0.890918
1,27,0.907145,-0.815881,0.045632,-1.723026
1,28,1.690406,-1.578038,0.056184,-3.268444
1,29,1.283060,-1.342330,-0.029635,-2.625390
1,30,1.830063,-1.604166,0.112949,-3.434229
1,31,1.010624,-0.842545,0.084040,-1.853170
1,32,2.131993,-2.254213,-0.061110,-4.386206
1,33,1.350373,-1.481264,-0.065446,-2.831637
1,34,0.223982,0.096535,0.160259,-0.127447
1,35,0.740211,-0.694157,0.023027,-1.434368
1,36,1.227592,-1.076164,0.075714,-2.303755
1,37,0.183099,0.030601,0.106850,-0.152498
1,38,-0.409799,0.728886,0.159543,1.138685
1,39,1.087167,-0.793600,0.146783,-1.880767
2,0,1.542754,-1.645759,-0.051502,-3.188513
2,1,0.247952,-0.229686,0.009133,-0.477638
2,2,3.885966,-3.904501,-0.009267,-7.790467
2,3,0.533753,-0.487277,0.023238,-1.021029
2,4,0.643305,-0.653920,-0.005307,-1.297226
2,5,1.333452,-1.107118,0.113167,-2.440570
2,6,1.297766,-1.145187,0.076290,-2.442953
2,7,1.465531,-1.400403,0.032564,-2.865934
2,8,0.625934,-0.618797,0.003568,-1.244731
2,9,2.552893,-2.528166,0.012364,-5.081059
2,10,1.908579,-1.749282,0.079648,-3.657861
2,11,0.634685,-0.482415,0.076135,-1.117100
2,12,1.360949,-1.308991,0.025979,-2.669940
2,13,1.286544,-1.232105,0.027220,-2.518649
2,14,0.594308,-0.567997,0.013156,-1.162306
2,15,1.673101,-1.485318,0.093892,-3.158418
2,16,3.826056,-3.793439,0.016309,-7.619495
2,17,3.667956,-3.608702,0.029627,-7.276659
2,18,2.748607,-2.776009,-0.013701,-5.524616
2,19,2.628786,-2.589321,0.019732,-5.218107
2,20,2.462180,-2.429888,0.016146,-4.892069
2,21,2.424213,-2.356980,0.033617,-4.781194
2,22,3.209026,-3.016453,0.096286,-6.225479
2,23,0.193058,-0.155444,0.018807,-0.348502
2,24,0.287002,-0.309575,-0.011286,-0.596577
2,25,0.180830,-0.208362,-0.013766,-0.389192
2,26,2.914203,-2.874102,0.020051,-5.788305
2,27,3.840276,-3.784117,0.028079,-7.624393
2,28,1.881246,-1.611893,0.134676,-3.493138
2,29,3.976610,-3.880111,0.048250,-7.856721
2,30,1.864644,-1.939623,-0.037489,-3.804267
2,31,0.747904,-0.669303,0.039300,-1.417206
2,32,1.124284,-0.968139,0.078072,-2.092423
2,33,1.802570,-1.879904,-0.038667,-3.682474
2,34,3.862974,-3.922882,-0.029954,-7.785856
2,35,1.323643,-1.330335,-0.003346,-2.653978
2,36,1.960259,-1.794613,0.082823,-3.754873
2,37,3.439335,-3.461722,-0.011194,-6.901057
2,38,1.240248,-1.109455,0.065397,-2.349703
2,39,1.841231,-1.977914,-0.068342,-3.819145
3,0,0.510894,-0.482035,0.014429,-0.992929
3,1,1.570292,-1.329662,0.120315,-2.899954
3,2,1.012777,-0.880233,0.066272,-1.893011
3,3,0.865102,-0.641859,0.111622,-1.506961
3,4,0.490632,-0.444109,0.023262,-0.934741
3,5,-1.622320,1.822676,0.100178,3.444996
3,6,0.947669,-0.914922,0.016373,-1.862591
3,7,2.720085,-2.608723,0.055681,-5.328809
3,8,1.082696,-1.242895,-0.080099,-2.325591
3,9,3.231859,-3.162094,0.034883,-6.393952
3,10,1.630763,-1.398269,0.116247,-3.029032
3,11,0.416186,-0.425132,-0.004473,-0.841318
3,12,1.204391,-1.196639,0.003876,-2.401031
3,13,1.068941,-1.119742,-0.025400,-2.188683
3,14,1.330776,-1.163400,0.083688,-2.494176
3,15,0.375912,-0.281928,0.046992,-0.657840
3,16,-0.465670,0.536968,0.035649,1.002638
3,17,0.366128,-0.340170,0.012979,-0.706298
3,18,0.435318,-0.645295,-0.104989,-1.080613
3,19,0.011219,-0.127808,-0.058294,-0.139028
3,20,4.009384,-3.968350,0.020517,-7.977734
3,21,1.499078,-1.391509,0.053785,-2.890587
3,22,0.625718,-0.525658,0.050030,-1.151376
3,23,3.449609,-3.368685,0.040462,-6.818293
3,24,1.392832,-1.393342,-0.000255,-2.786175
3,25,3.427922,-3.322192,0.052865,-6.750114
3,26,1.149869,-0.977723,0.086073,-2.127591
3,27,1.197604,-1.159291,0.019157,-2.356894
3,28,1.446188,-1.403909,0.021140,-2.850098
3,29,1.215400,-1.166343,0.024529,-2.381744
3,30,2.000541,-1.978651,0.010945,-3.979192
3,31,3.321746,-3.108834,0.106456,-6.430580
3,32,0.270937,-0.292074,-0.010569,-0.563011
3,33,2.072770,-2.114021,-0.020625,-4.186790
3,34,1.258789,-1.119387,0.069701,-2.378176
3,35,0.550214,-0.479461,0.035377,-1.029676
3,36,1.665760,-1.501420,0.082170,-3.167180
3,37,0.322121,-0.102639,0.109741,-0.424760
3,38,1.537379,-1.358815,0.089282,-2.896194
3,39,0.216208,-0.012454,0.101877,-0.228662
4,0,0.689848,-0.422672,0.133588,-1.112520
4,1,2.023849,-1.949701,0.037074,-3.973550
4,2,2.716588,-2.558123,0.079233,-5.274711
4,3,0.836723,-0.799297,0.018713,-1.636020
4,4,0.951578,-0.972555,-0.010488,-1.924133
4,5,1.174257,-1.123755,0.025251,-2.298011
4,6,3.872090,-3.932126,-0.030018,-7.804216
4,7,0.841278,-0.840022,0.000628,-1.681300
4,8,0.981242,-0.845257,0.067992,-1.826499
4,9,1.832907,-1.580291,0.126308,-3.413197
4,10,4.047715,-3.989702,0.029007,-8.037417
4,11,0.178859,-0.062356,0.058251,-0.241215
4,12,1.176095,-1.083348,0.046373,-2.259443
4,13,0.939702,-0.788895,0.075403,-1.728597
4,14,1.244247,-1.075445,0.084401,-2.319693
4,15,-0.561705,0.664964,0.051630,1.226670
4,16,0.741573,-0.786269,-0.022348,-1.527842
4,17,3.901265,-3.786906,0.057180,-7.688171
4,18,0.900510,-0.710746,0.094882,-1.611256
4,19,0.090949,-0.282877,-0.095964,-0.373827
4,20,3.799403,-3.708340,0.045531,-7.507744
4,21,1.049023,-1.138506,-0.044741,-2.187529
4,22,0.656591,-0.699957,-0.021683,-1.356548
4,23,2.374843,-2.350214,0.012314,-4.725057
4,24,4.035728,-4.047391,-0.005832,-8.083119
4,25,1.405825,-1.219874,0.092976,-2.625700
4,26,0.737617,-0.738498,-0.000440,-1.476114
4,27,2.906007,-2.568182,0.168913,-5.474190
4,28,1.242348,-1.105134,0.068607,-2.347482
4,29,1.659289,-1.500607,0.079341,-3.159896
4,30,1.083746,-0.998535,0.042605,-2.082281
4,31,2.557138,-2.530084,0.013527,-5.087222
4,32,0.776898,-0.861502,-0.042302,-1.638400
4,33,0.849948,-0.888473,-0.019262,-1.738421
4,34,1.780127,-1.713335,0.033396,-3.493462
4,35,1.280865,-1.194372,0.043247,-2.475237
4,36,-0.961862,0.931190,-0.015336,1.893053
4,37,0.729893,-0.797452,-0.033780,-1.527345
4,38,0.400461,-0.320698,0.039881,-0.721159
4,39,0.707070,-0.448375,0.129348,-1.155444
5,0,0.324838,-0.404670,-0.039916,-0.729508
