batch,i,z1_nomatch,z2_match,m,gap
0,0,0.158485,-0.149707,0.004389,-0.308192
0,1,-0.115614,0.112183,-0.001715,0.227797
0,2,-0.275378,0.269695,-0.002841,0.545074
0,3,0.338581,-0.365767,-0.013593,-0.704348
0,4,3.911398,-3.945031,-0.016817,-7.856429
0,5,0.225337,-0.229814,-0.002238,-0.455151
0,6,0.808684,-0.824718,-0.008017,-1.633402
0,7,0.729020,-0.763936,-0.017458,-1.492955
0,8,0.090570,-0.098784,-0.004107,-0.189354
0,9,-0.723920,0.722522,-0.000699,1.446441
0,10,2.867852,-2.902079,-0.017113,-5.769931
0,11,0.534467,-0.535691,-0.000612,-1.070157
0,12,4.568882,-4.598964,-0.015041,-9.167846
0,13,-1.164487,1.168236,0.001874,2.332724
0,14,0.144267,-0.156504,-0.006119,-0.300771
0,15,1.213076,-1.244710,-0.015817,-2.457786
0,16,1.631789,-1.644661,-0.006436,-3.276450
0,17,0.710359,-0.730806,-0.010224,-1.441165
0,18,2.459703,-2.495873,-0.018085,-4.955576
0,19,2.764482,-2.790051,-0.012785,-5.554533
0,20,0.174663,-0.178026,-0.001681,-0.352689
0,21,3.113406,-3.133877,-0.010235,-6.247283
0,22,4.333314,-4.367531,-0.017108,-8.700845
0,23,-0.098823,0.071969,-0.013427,0.170792
0,24,1.739747,-1.755229,-0.007741,-3.494977
0,25,3.554474,-3.592515,-0.019020,-7.146989
0,26,3.405569,-3.429493,-0.011962,-6.835062
0,27,1.445876,-1.467223,-0.010673,-2.913100
0,28,3.254679,-3.297510,-0.021415,-6.552189
0,29,3.001062,-3.037265,-0.018101,-6.038327
0,30,2.996749,-3.011396,-0.007324,-6.008146
0,31,1.147613,-1.166418,-0.009403,-2.314032
0,32,0.823822,-0.844649,-0.010414,-1.668470
0,33,1.442786,-1.466540,-0.011877,-2.909327
0,34,2.181934,-2.213979,-0.016022,-4.395913
0,35,4.177659,-4.211824,-0.017082,-8.389483
0,36,5.425427,-5.462091,-0.018332,-10.887519
0,37,0.776378,-0.806679,-0.015150,-1.583057
0,38,3.126499,-3.155447,-0.014474,-6.281946
0,39,0.913593,-0.946691,-0.016549,-1.860284
1,0,1.432769,-1.452551,-0.009891,-2.885320
1,1,0.597280,-0.622580,-0.012650,-1.219860
1,2,-0.272089,0.274761,0.001336,0.546850
1,3,2.210445,-2.237737,-0.013646,-4.448183
1,4,2.029683,-2.050893,-0.010605,-4.080576
1,5,3.231681,-3.260235,-0.014277,-6.491916
1,6,5.569084,-5.614259,-0.022587,-11.183343
1,7,2.754594,-2.776229,-0.010818,-5.530823
1,8,0.461912,-0.483248,-0.010668,-0.945160
1,9,2.091326,-2.116527,-0.012600,-4.207853
1,10,1.591981,-1.604890,-0.006455,-3.196870
1,11,0.344500,-0.349812,-0.002656,-0.694313
1,12,2.119580,-2.146611,-0.013516,-4.266191
1,13,4.000682,-4.031663,-0.015491,-8.032345
1,14,2.465388,-2.490121,-0.012367,-4.955509
1,15,4.385269,-4.411639,-0.013185,-8.796908
1,16,-0.744354,0.742285,-0.001034,1.486639
1,17,1.577829,-1.597574,-0.009873,-3.175403
1,18,2.458288,-2.471818,-0.006765,-4.930106
1,19,5.201252,-5.234387,-0.016568,-10.435639
1,20,2.178881,-2.203460,-0.012290,-4.382341
1,21,1.744372,-1.759064,-0.007346,-3.503436
1,22,1.024194,-1.023737,0.000228,-2.047931
1,23,1.068882,-1.085079,-0.008099,-2.153961
1,24,-0.119122,0.097772,-0.010675,0.216894
1,25,1.091722,-1.112034,-0.010156,-2.203756
1,26,0.699505,-0.707571,-0.004033,-1.407076
1,27,1.394401,-1.413049,-0.009324,-2.807449
1,28,1.481190,-1.493186,-0.005998,-2.974377
1,29,-0.229915,0.223096,-0.003410,0.453011
1,30,2.496698,-2.516487,-0.009894,-5.013185
1,31,2.139520,-2.171533,-0.016007,-4.311053
1,32,2.356958,-2.380300,-0.011671,-4.737258
1,33,1.951885,-1.979904,-0.014010,-3.931790
1,34,0.616777,-0.640310,-0.011766,-1.257087
1,35,2.264245,-2.307195,-0.021475,-4.571440
1,36,-2.033588,2.017169,-0.008210,4.050757
1,37,1.318638,-1.336626,-0.008994,-2.655264
1,38,0.375814,-0.389528,-0.006857,-0.765342
1,39,-1.342905,1.335783,-0.003561,2.678688
2,0,0.686989,-0.704580,-0.008796,-1.391569
2,1,0.711274,-0.730081,-0.009403,-1.441355
2,2,0.431269,-0.451427,-0.010079,-0.882696
2,3,3.080185,-3.118062,-0.018938,-6.198247
2,4,0.616951,-0.643454,-0.013252,-1.260405
2,5,-0.572065,0.561300,-0.005383,1.133364
2,6,0.999099,-1.028153,-0.014527,-2.027252
2,7,2.494210,-2.534691,-0.020241,-5.028901
2,8,1.658822,-1.683157,-0.012168,-3.341979
2,9,4.505350,-4.544183,-0.019417,-9.049533
2,10,1.760806,-1.785401,-0.012298,-3.546207
2,11,4.776301,-4.807753,-0.015726,-9.584054
2,12,0.703246,-0.721816,-0.009285,-1.425062
2,13,1.692154,-1.706087,-0.006967,-3.398241
2,14,0.318936,-0.327294,-0.004179,-0.646230
2,15,0.177956,-0.192858,-0.007451,-0.370814
2,16,3.949623,-3.981911,-0.016144,-7.931534
