batch,i,z1_nomatch,z2_match,m,gap
0,0,3.940925,-3.887165,0.026880,-7.828090
0,1,-0.312647,0.414251,0.050802,0.726898
0,2,0.343130,-0.264804,0.039163,-0.607934
0,3,1.417140,-1.233951,0.091595,-2.651091
0,4,1.428155,-1.136965,0.145595,-2.565120
0,5,3.685473,-3.685612,-0.000069,-7.371085
0,6,2.317998,-2.070264,0.123867,-4.388263
0,7,2.095154,-1.969983,0.062586,-4.065137
0,8,1.226234,-1.208287,0.008974,-2.434521
0,9,1.084759,-1.084427,0.000166,-2.169186
0,10,1.587467,-1.537609,0.024929,-3.125077
0,11,2.228437,-1.924750,0.151844,-4.153187
0,12,4.005845,-3.967934,0.018955,-7.973779
0,13,3.357833,-3.242166,0.057833,-6.599998
0,14,0.638014,-0.458314,0.089850,-1.096327
0,15,2.151391,-2.250997,-0.049803,-4.402388
0,16,1.650088,-1.662369,-0.006140,-3.312457
0,17,0.507528,-0.425395,0.041066,-0.932923
0,18,0.400611,-0.262984,0.068813,-0.663594
0,19,0.356492,-0.258091,0.049200,-0.614584
0,20,4.017161,-4.000591,0.008285,-8.017752
0,21,0.489652,-0.406257,0.041698,-0.895909
0,22,2.720639,-2.615744,0.052448,-5.336383
0,23,1.207493,-1.261368,-0.026938,-2.468861
0,24,2.786686,-2.525723,0.130481,-5.312410
0,25,3.497929,-3.465427,0.016251,-6.963356
0,26,3.364998,-3.152680,0.106159,-6.517678
0,27,1.079179,-0.932618,0.073281,-2.011797
0,28,1.692687,-1.578109,0.057289,-3.270795
0,29,3.753930,-3.577597,0.088166,-7.331527
0,30,0.459395,-0.636671,-0.088638,-1.096066
0,31,1.208543,-0.932471,0.138036,-2.141014
0,32,1.678744,-1.587808,0.045468,-3.266551
0,33,-1.741064,2.011208,0.135072,3.752272
0,34,0.874453,-0.680806,0.096824,-1.555259
0,35,2.553392,-2.276868,0.138262,-4.830260
0,36,4.027172,-3.957049,0.035061,-7.984220
0,37,2.631178,-2.448528,0.091325,-5.079707
0,38,2.161657,-1.945974,0.107842,-4.107631
0,39,3.004918,-2.897711,0.053604,-5.902629
1,0,2.074078,-2.163800,-0.044861,-4.237878
1,1,3.609274,-3.555526,0.026874,-7.164801
1,2,0.997627,-0.977304,0.010161,-1.974931
1,3,2.179439,-2.061496,0.058971,-4.240935
1,4,3.008145,-3.010466,-0.001160,-6.018610
1,5,3.692608,-3.617961,0.037324,-7.310569
1,6,1.981112,-1.975145,0.002984,-3.956257
1,7,0.146776,-0.033566,0.056605,-0.180342
1,8,0.937308,-0.969467,-0.016079,-1.906775
1,9,3.788599,-3.703952,0.042323,-7.492550
1,10,3.994764,-3.985579,0.004592,-7.980343
1,11,2.455461,-2.403575,0.025943,-4.859037
1,12,3.266705,-3.122252,0.072227,-6.388957
1,13,1.512925,-1.470635,0.021145,-2.983560
1,14,1.978408,-1.864665,0.056871,-3.843073
1,15,1.367937,-1.421464,-0.026764,-2.789401
1,16,0.756365,-0.801844,-0.022739,-1.558209
1,17,3.268474,-3.192394,0.038040,-6.460868
1,18,2.773546,-2.791352,-0.008903,-5.564898
1,19,2.671368,-2.608310,0.031529,-5.279679
1,20,3.661014,-3.575316,0.042849,-7.236331
1,21,3.453497,-3.584763,-0.065633,-7.038260
1,22,4.007018,-3.960427,0.023295,-7.967445
1,23,3.992081,-3.989018,0.001531,-7.981099
1,24,3.861781,-3.671599,0.095091,-7.533380
1,25,2.612221,-2.460681,0.075770,-5.072902
1,26,1.232708,-1.010260,0.111224,-2.242968
1,27,1.869480,-1.493196,0.188142,-3.362675
1,28,2.154087,-2.294682,-0.070297,-4.448768
1,29,4.011902,-3.961400,0.025251,-7.973302
1,30,3.749921,-3.745326,0.002297,-7.495247
1,31,0.980910,-0.848963,0.065973,-1.829873
1,32,3.503412,-3.496476,0.003468,-6.999888
1,33,3.993938,-3.939642,0.027148,-7.933580
1,34,0.088114,-0.211416,-0.061651,-0.299529
1,35,3.691124,-3.672048,0.009538,-7.363172
1,36,3.213895,-3.044857,0.084519,-6.258752
1,37,2.365001,-2.330638,0.017182,-4.695639
1,38,0.414166,-0.506735,-0.046284,-0.920900
1,39,1.302477,-1.376031,-0.036777,-2.678508
2,0,-0.264350,0.238728,-0.012811,0.503078
2,1,0.435575,-0.290217,0.072679,-0.725792
2,2,0.331827,-0.326503,0.002662,-0.658330
2,3,3.513429,-3.482232,0.015598,-6.995661
2,4,-0.211450,0.246917,0.017733,0.458367
2,5,2.894464,-2.895088,-0.000312,-5.789552
2,6,3.364624,-3.328856,0.017884,-6.693480
2,7,0.213476,-0.167165,0.023155,-0.380641
2,8,3.789269,-3.764016,0.012626,-7.553285
2,9,0.334450,-0.164201,0.085124,-0.498650
2,10,3.166172,-2.963491,0.101340,-6.129663
2,11,2.006909,-2.018211,-0.005651,-4.025120
2,12,3.456002,-3.518360,-0.031179,-6.974362
2,13,2.264838,-2.335213,-0.035187,-4.600051
2,14,4.086750,-4.080127,0.003311,-8.166877
2,15,2.292482,-2.439986,-0.073752,-4.732467
2,16,0.162897,-0.176284,-0.006694,-0.339181
2,17,1.711844,-1.601921,0.054961,-3.313766
2,18,2.780933,-2.616863,0.082035,-5.397796
2,19,2.072466,-1.920827,0.075820,-3.993293
2,20,-0.773440,0.954623,0.090592,1.728063
2,21,0.814030,-0.662269,0.075881,-1.476299
2,22,3.904618,-3.893647,0.005485,-7.798266
2,23,0.947006,-0.930469,0.008268,-1.877474
2,24,2.602107,-2.348771,0.126668,-4.950878
2,25,2.883248,-2.905658,-0.011205,-5.788906
2,26,1.456734,-1.271398,0.092668,-2.728132
2,27,0.857290,-0.657042,0.100124,-1.514332
2,28,2.908105,-3.016430,-0.054163,-5.924535
2,29,0.137339,0.062391,0.099865,-0.074948
2,30,0.269970,-0.235571,0.017200,-0.505540
2,31,2.207686,-2.227833,-0.010073,-4.435519
2,32,2.042623,-2.012431,0.015096,-4.055054
2,33,1.637333,-1.683976,-0.023321,-3.321309
2,34,1.752607,-1.720134,0.016236,-3.472741
2,35,2.975426,-2.975790,-0.000182,-5.951216
2,36,0.524144,-0.450848,0.036648,-0.974992
2,37,-0.043422,-0.050078,-0.046750,-0.006655
2,38,3.757403,-3.648751,0.054326,-7.406154
2,39,1.014541,-1.100157,-0.042808,-2.114698
3,0,3.543548,-3.476022,0.033763,-7.019570
3,1,-0.302069,0.263566,-0.019252,0.565636
