batch,i,z1_nomatch,z2_match,m,gap
0,0,2.228437,-1.924750,0.151844,-4.153187
0,1,1.082057,-1.093842,-0.005892,-2.175899
0,2,3.416266,-3.319051,0.048607,-6.735317
0,3,2.830202,-2.615206,0.107498,-5.445408
0,4,0.917817,-0.901555,0.008131,-1.819372
0,5,0.472100,-0.446013,0.013043,-0.918114
0,6,0.343130,-0.264804,0.039163,-0.607934
0,7,3.850544,-3.831753,0.009396,-7.682297
0,8,1.817929,-1.972236,-0.077154,-3.790164
0,9,0.768131,-0.767239,0.000446,-1.535370
0,10,2.809462,-2.773291,0.018086,-5.582753
0,11,1.492269,-1.167431,0.162419,-2.659700
0,12,0.459395,-0.636671,-0.088638,-1.096066
0,13,2.079665,-2.029476,0.025094,-4.109141
0,14,3.257023,-3.237297,0.009863,-6.494319
0,15,3.962811,-3.917826,0.022492,-7.880636
0,16,2.975709,-2.851094,0.062307,-5.826803
0,17,1.458341,-1.255471,0.101435,-2.713811
0,18,2.444782,-2.393499,0.025642,-4.838281
0,19,0.584462,-0.423733,0.080365,-1.008194
0,20,0.290420,-0.384314,-0.046947,-0.674734
0,21,0.423430,-0.382190,0.020620,-0.805620
0,22,-1.741064,2.011208,0.135072,3.752272
0,23,1.226234,-1.208287,0.008974,-2.434521
0,24,1.079179,-0.932618,0.073281,-2.011797
0,25,2.144883,-2.156912,-0.006014,-4.301795
0,26,2.761581,-2.544932,0.108325,-5.306512
0,27,0.381184,-0.230225,0.075479,-0.611409
0,28,1.019423,-0.951207,0.034108,-1.970630
0,29,3.924894,-3.865355,0.029770,-7.790248
0,30,1.093783,-0.770860,0.161461,-1.864643
0,31,3.818708,-3.714335,0.052186,-7.533043
0,32,2.485128,-2.401818,0.041655,-4.886947
0,33,3.924238,-3.902015,0.011112,-7.826253
0,34,0.711072,-0.583398,0.063837,-1.294471
0,35,0.711874,-0.443205,0.134334,-1.155079
0,36,3.721499,-3.652261,0.034619,-7.373760
0,37,1.218447,-1.119851,0.049298,-2.338298
0,38,0.240274,-0.058820,0.090727,-0.299094
0,39,1.221525,-0.973738,0.123893,-2.195262
1,0,2.949912,-2.872992,0.038460,-5.822904
1,1,2.804010,-2.508662,0.147674,-5.312672
1,2,3.618565,-3.681562,-0.031499,-7.300128
1,3,1.869480,-1.493196,0.188142,-3.362675
1,4,3.744495,-3.628608,0.057944,-7.373102
1,5,3.012541,-2.937074,0.037733,-5.949615
1,6,0.980910,-0.848963,0.065973,-1.829873
1,7,0.937308,-0.969467,-0.016079,-1.906775
1,8,1.958004,-1.690909,0.133547,-3.648913
1,9,3.777371,-3.795158,-0.008893,-7.572529
1,10,3.814954,-3.796376,0.009289,-7.611330
1,11,0.875346,-1.034941,-0.079798,-1.910287
1,12,2.206442,-2.175740,0.015351,-4.382183
1,13,3.994378,-3.730734,0.131822,-7.725111
1,14,2.218402,-2.262543,-0.022070,-4.480945
1,15,0.414166,-0.506735,-0.046284,-0.920900
1,16,3.661014,-3.575316,0.042849,-7.236331
1,17,0.636024,-0.440036,0.097994,-1.076060
1,18,3.260048,-3.328912,-0.034432,-6.588960
1,19,3.663913,-3.558677,0.052618,-7.222591
1,20,3.524117,-3.646443,-0.061163,-7.170560
1,21,2.225204,-1.997567,0.113818,-4.222771
1,22,3.983009,-3.905744,0.038633,-7.888753
1,23,3.354786,-3.309157,0.022814,-6.663944
1,24,2.020712,-1.752771,0.133971,-3.773482
1,25,2.358088,-2.251557,0.053266,-4.609645
1,26,0.003772,-0.057276,-0.026752,-0.061048
1,27,1.754944,-1.606411,0.074267,-3.361355
1,28,3.693987,-3.503834,0.095076,-7.197821
1,29,3.506362,-3.445124,0.030619,-6.951486
1,30,3.977659,-3.876739,0.050460,-7.854398
1,31,2.613790,-2.563299,0.025245,-5.177089
1,32,2.487199,-2.344746,0.071227,-4.831945
1,33,3.990448,-3.972037,0.009206,-7.962485
