batch,i,z1_nomatch,z2_match,m,gap
0,0,-1.106286,1.479181,0.186448,2.585467
0,1,-0.376890,0.290951,-0.042970,0.667841
0,2,-1.532956,1.630194,0.048619,3.163149
0,3,-0.261534,0.617231,0.177849,0.878764
0,4,-0.062544,0.269721,0.103588,0.332265
0,5,0.509109,-0.419389,0.044860,-0.928498
0,6,-0.672485,0.839873,0.083694,1.512359
0,7,-0.920574,0.988382,0.033904,1.908955
0,8,-0.372571,0.309094,-0.031738,0.681665
0,9,0.145801,-0.075102,0.035350,-0.220903
0,10,-0.637353,0.722240,0.042444,1.359593
0,11,-0.560608,0.736343,0.087867,1.296952
0,12,-1.615356,1.586970,-0.014193,3.202326
0,13,0.249176,-0.201291,0.023943,-0.450467
0,14,-2.052555,2.036396,-0.008080,4.088951
0,15,-2.038473,2.051598,0.006562,4.090071
0,16,-2.517957,2.652406,0.067224,5.170363
0,17,0.335243,-0.133642,0.100801,-0.468885
0,18,1.311315,-1.268355,0.021480,-2.579671
0,19,-0.353228,0.486011,0.066391,0.839239
0,20,-0.955160,0.932839,-0.011160,1.887999
0,21,-0.849714,0.841724,-0.003995,1.691438
0,22,-0.537603,0.722074,0.092235,1.259677
0,23,0.542956,-0.731988,-0.094516,-1.274945
0,24,-0.697802,0.839816,0.071007,1.537618
0,25,-0.288571,0.345954,0.028691,0.634525
0,26,-2.167133,2.370861,0.101864,4.537994
0,27,-0.301169,0.357296,0.028064,0.658465
0,28,-2.005850,2.104943,0.049547,4.110793
0,29,-0.146776,0.348126,0.100675,0.494901
0,30,0.263322,-0.075060,0.094131,-0.338382
0,31,-1.539797,1.804087,0.132145,3.343884
0,32,-1.960925,2.049677,0.044376,4.010602
0,33,-2.018860,2.184549,0.082844,4.203409
0,34,1.160978,-1.035602,0.062688,-2.196580
0,35,-1.080848,1.443360,0.181256,2.524209
0,36,-1.038695,1.300848,0.131077,2.339543
0,37,-0.582998,0.761855,0.089429,1.344852
0,38,-0.010935,0.195548,0.092307,0.206483
0,39,-1.825151,2.129540,0.152195,3.954690
1,0,-1.208981,1.271713,0.031366,2.480694
1,1,-2.017697,2.230485,0.106394,4.248182
1,2,-1.804676,1.923887,0.059606,3.728563
1,3,-0.418248,0.509524,0.045638,0.927773
1,4,-2.371765,2.306645,-0.032560,4.678410
1,5,-2.354622,2.494009,0.069693,4.848631
1,6,-0.181057,0.262538,0.040741,0.443595
1,7,-0.420237,0.370076,-0.025081,0.790313
1,8,-0.210379,0.370368,0.079995,0.580747
1,9,-2.529802,2.486058,-0.021872,5.015859
1,10,-1.340185,1.257974,-0.041105,2.598159
1,11,-0.493907,0.343841,-0.075033,0.837748
1,12,-0.660978,0.724400,0.031711,1.385378
1,13,-2.360157,2.814867,0.227355,5.175024
1,14,0.068524,-0.147680,-0.039578,-0.216204
1,15,0.666898,-0.666133,0.000383,-1.333030
1,16,-1.097155,1.164315,0.033580,2.261470
1,17,-1.334586,1.522174,0.093794,2.856760
1,18,-0.137032,0.212505,0.037736,0.349537
1,19,-2.055416,2.139404,0.041994,4.194820
1,20,-3.060002,3.031802,-0.014100,6.091804
1,21,-0.759944,0.864886,0.052471,1.624830
1,22,-1.404865,1.727934,0.161535,3.132799
1,23,-1.520365,1.729024,0.104330,3.249389
1,24,-2.377959,2.699856,0.160949,5.077816
1,25,-2.325817,2.588319,0.131251,4.914136
1,26,-1.032286,1.074080,0.020897,2.106366
1,27,-1.533838,2.038301,0.252232,3.572140
1,28,-1.254656,1.229020,-0.012818,2.483676
1,29,-2.128210,2.033265,-0.047473,4.161475
1,30,-2.890880,3.002895,0.056007,5.893775
1,31,-0.419223,0.623787,0.102282,1.043010
1,32,-1.708380,1.699809,-0.004286,3.408189
1,33,-2.779670,2.819663,0.019997,5.599332
1,34,0.053210,0.064880,0.059045,0.011670
1,35,-2.129205,2.147063,0.008929,4.276267
1,36,0.871306,-0.867992,0.001657,-1.739298
1,37,-0.679076,0.633597,-0.022740,1.312673
1,38,-0.230744,0.041812,-0.094466,0.272556
1,39,-0.058987,0.079446,0.010229,0.138433
2,0,-2.085712,2.112655,0.013471,4.198368
2,1,-0.808656,0.882249,0.036797,1.690905
2,2,-0.544781,0.682752,0.068986,1.227533
2,3,-2.509414,2.469290,-0.020062,4.978703
2,4,-0.395450,0.601410,0.102980,0.996860
2,5,-1.876318,1.944978,0.034330,3.821296
2,6,-1.102202,1.191774,0.044786,2.293977
2,7,0.145444,-0.138715,0.003364,-0.284159
2,8,-2.885118,2.858447,-0.013335,5.743565
2,9,-0.171217,0.414994,0.121888,0.586210
2,10,-0.696380,0.769638,0.036629,1.466019
2,11,-1.240943,1.199918,-0.020512,2.440861
2,12,-2.299851,2.278677,-0.010587,4.578528
2,13,-0.616666,0.778230,0.080782,1.394896
2,14,-2.409684,2.448418,0.019367,4.858103
2,15,-1.936005,1.853172,-0.041417,3.789177
2,16,-1.219363,1.299491,0.040064,2.518855
2,17,-0.010038,0.142834,0.066398,0.152872
2,18,0.811368,-0.645869,0.082750,-1.457237
2,19,-1.598122,2.075112,0.238495,3.673234
2,20,-1.705398,1.918214,0.106408,3.623612
2,21,0.341295,-0.118637,0.111329,-0.459932
2,22,-1.495638,1.513746,0.009054,3.009384
2,23,0.074084,-0.048763,0.012660,-0.122847
2,24,-0.113768,0.106837,-0.003465,0.220605
2,25,-1.133799,1.076402,-0.028698,2.210201
2,26,-1.855272,1.929815,0.037271,3.785086
2,27,-0.883728,1.194555,0.155413,2.078283
2,28,0.616602,-0.520471,0.048065,-1.137073
2,29,-0.385575,0.567900,0.091162,0.953475
2,30,-0.847594,0.774919,-0.036338,1.622513
2,31,-0.800081,0.665408,-0.067337,1.465489
2,32,2.052335,-1.811363,0.120486,-3.863698
2,33,0.534523,-0.505293,0.014615,-1.039816
2,34,-0.691873,0.849669,0.078898,1.541542
2,35,-1.153336,1.331221,0.088942,2.484557
2,36,-0.617139,0.789437,0.086149,1.406576
2,37,0.267166,-0.323709,-0.028272,-0.590874
2,38,-1.041674,1.278672,0.118499,2.320346
2,39,-2.057753,1.994836,-0.031459,4.052588
3,0,0.119991,0.159816,0.139904,0.039825
3,1,0.328385,-0.259963,0.034211,-0.588349
3,2,-1.982846,1.993363,0.005258,3.976209
3,3,1.048454,-1.058648,-0.005097,-2.107102
3,4,-0.164510,0.212689,0.024089,0.377199
3,5,0.449769,-0.158654,0.145558,-0.608423
3,6,-0.436320,0.437473,0.000577,0.873793
3,7,-1.842824,1.965820,0.061498,3.808644
3,8,-1.609041,1.850898,0.120929,3.459939
3,9,0.545323,-0.492931,0.026196,-1.038255
3,10,-1.809880,2.058488,0.124304,3.868369
3,11,-1.739116,1.990499,0.125692,3.729615
3,12,0.321959,-0.187915,0.067022,-0.509874
3,13,0.636001,-0.409857,0.113072,-1.045858
3,14,-0.749086,0.878036,0.064475,1.627121
3,15,-3.102720,3.036474,-0.033123,6.139194
3,16,0.009438,-0.061213,-0.025888,-0.070651
3,17,0.363750,-0.111716,0.126017,-0.475466
3,18,0.172219,-0.201242,-0.014512,-0.373461
3,19,-1.269288,1.273247,0.001979,2.542535
3,20,-0.170410,0.123254,-0.023578,0.293664
3,21,-0.595510,0.740246,0.072368,1.335756
3,22,-0.595536,0.801920,0.103192,1.397457
3,23,-3.087358,3.014040,-0.036659,6.101399
3,24,-0.955860,0.763833,-0.096014,1.719693
3,25,-0.155422,0.304988,0.074783,0.460410
3,26,-0.050559,0.016825,-0.016867,0.067384
3,27,0.638181,-0.480302,0.078940,-1.118483
3,28,0.718183,-0.785060,-0.033438,-1.503243
3,29,-0.707689,0.596007,-0.055841,1.303696
3,30,-1.897915,2.118244,0.110165,4.016159
3,31,0.422231,-0.367016,0.027607,-0.789247
3,32,-1.729665,1.866060,0.068197,3.595725
3,33,0.590353,-0.519471,0.035441,-1.109825
3,34,-1.145680,1.079661,-0.033009,2.225341
3,35,0.776270,-0.749512,0.013379,-1.525783
3,36,-1.405799,1.246477,-0.079661,2.652276
3,37,-2.620863,2.760606,0.069871,5.381469
3,38,-1.545919,1.956558,0.205319,3.502477
3,39,0.231574,-0.068135,0.081720,-0.299709
4,0,0.534176,-0.447933,0.043122,-0.982109
4,1,-0.831725,1.102038,0.135157,1.933762
4,2,-0.680797,0.889200,0.104202,1.569997
4,3,-0.870068,1.061971,0.095952,1.932039
4,4,-0.115016,0.419319,0.152152,0.534336
4,5,-0.394979,0.646194,0.125608,1.041173
4,6,-1.161268,1.113627,-0.023821,2.274895
4,7,1.300426,-1.282042,0.009192,-2.582469
4,8,-0.456559,0.532288,0.037865,0.988847
4,9,0.603928,-0.563627,0.020150,-1.167555
4,10,-1.071762,1.298693,0.113466,2.370455
4,11,-1.509857,1.750312,0.120228,3.260170
4,12,-1.632824,1.907323,0.137249,3.540147
4,13,-1.152473,1.267692,0.057609,2.420165
4,14,0.070316,-0.219597,-0.074641,-0.289913
4,15,-0.469349,0.503879,0.017265,0.973228
4,16,-0.457088,0.399675,-0.028706,0.856763
4,17,-0.305869,0.378709,0.036420,0.684578
4,18,0.453131,-0.538458,-0.042663,-0.991588
4,19,0.519439,-0.534882,-0.007721,-1.054321
4,20,-1.944982,2.111849,0.083433,4.056831
4,21,-1.683478,1.582616,-0.050431,3.266094
4,22,-0.899950,1.194984,0.147517,2.094934
4,23,-0.502679,0.524054,0.010688,1.026733
4,24,-0.319380,0.243432,-0.037974,0.562812
4,25,-2.431160,2.401408,-0.014876,4.832568
4,26,-1.878451,2.107688,0.114619,3.986139
4,27,-2.641227,2.935477,0.147125,5.576705
4,28,-1.523264,1.408569,-0.057347,2.931833
4,29,-0.150925,0.447795,0.148435,0.598720
4,30,-0.545031,0.604529,0.029749,1.149560
4,31,0.478504,-0.363508,0.057498,-0.842012
4,32,-0.314387,0.640875,0.163244,0.955261
4,33,0.002399,-0.177323,-0.087462,-0.179722
4,34,-0.833097,1.038078,0.102491,1.871175
4,35,0.567624,-0.292919,0.137353,-0.860543
4,36,-0.405990,0.330746,-0.037622,0.736736
4,37,1.002724,-0.949457,0.026633,-1.952181
4,38,-0.257141,0.514633,0.128746,0.771775
4,39,0.244787,-0.340543,-0.047878,-0.585330
5,0,-1.264816,1.285663,0.010423,2.550479
5,1,0.359231,-0.449921,-0.045345,-0.809152
5,2,-1.825388,1.905507,0.040059,3.730895
5,3,0.866514,-0.759766,0.053374,-1.626280
5,4,-2.073734,2.029415,-0.022159,4.103150
