batch,i,z1_nomatch,z2_match,m,gap
0,0,3.412877,-3.657943,-0.122533,-7.070821
0,1,-0.344695,0.660317,0.157811,1.005012
0,2,1.961659,-1.569651,0.196004,-3.531310
0,3,0.607410,-0.868764,-0.130677,-1.476174
0,4,1.925583,-2.047174,-0.060796,-3.972757
0,5,2.579961,-2.818149,-0.119094,-5.398110
0,6,0.747551,-1.140516,-0.196483,-1.888067
0,7,1.526170,-1.711390,-0.092610,-3.237560
0,8,0.401458,-0.543045,-0.070793,-0.944503
0,9,1.737311,-1.540779,0.098266,-3.278090
0,10,1.078793,-1.195681,-0.058444,-2.274475
0,11,0.304783,-0.264807,0.019988,-0.569590
0,12,5.451189,-5.255666,0.097761,-10.706855
0,13,0.963647,-1.185740,-0.111046,-2.149387
0,14,0.351912,-0.582355,-0.115222,-0.934268
0,15,4.009760,-3.963033,0.023364,-7.972793
0,16,1.574883,-1.780129,-0.102623,-3.355011
0,17,0.032587,0.206205,0.119396,0.173618
0,18,-0.009283,-0.224042,-0.116663,-0.214759
0,19,0.207835,-0.418689,-0.105427,-0.626524
0,20,4.571670,-4.793587,-0.110959,-9.365257
0,21,1.235368,-1.008147,0.113611,-2.243515
0,22,3.018375,-3.276409,-0.129017,-6.294785
0,23,0.711248,-0.971826,-0.130289,-1.683074
0,24,1.708094,-1.922304,-0.107105,-3.630398
0,25,1.638158,-1.914212,-0.138027,-3.552370
0,26,2.040742,-2.209594,-0.084426,-4.250336
0,27,0.937498,-1.083890,-0.073196,-2.021388
0,28,1.328689,-1.320279,0.004205,-2.648968
0,29,2.558299,-2.759255,-0.100478,-5.317554
0,30,0.278386,-0.481584,-0.101599,-0.759970
0,31,0.314139,-0.648795,-0.167328,-0.962934
0,32,1.241797,-1.068053,0.086872,-2.309851
0,33,-1.857273,1.182317,-0.337478,3.039590
0,34,0.300300,-0.533182,-0.116441,-0.833481
0,35,1.797607,-1.934052,-0.068222,-3.731659
0,36,4.306610,-4.409579,-0.051485,-8.716188
0,37,1.587571,-1.681585,-0.047007,-3.269156
0,38,1.533448,-1.681523,-0.074037,-3.214971
0,39,4.463076,-4.316197,0.073440,-8.779273
1,0,1.145957,-1.400703,-0.127373,-2.546661
1,1,2.711714,-2.853867,-0.071077,-5.565581
1,2,0.248311,-0.666787,-0.209238,-0.915098
1,3,2.104772,-2.360830,-0.128029,-4.465602
1,4,2.486685,-2.737575,-0.125445,-5.224260
1,5,2.724857,-2.889830,-0.082487,-5.614687
1,6,1.890224,-2.219489,-0.164632,-4.109713
1,7,0.387615,-0.314528,0.036543,-0.702143
1,8,1.190310,-1.464596,-0.137143,-2.654906
1,9,4.996418,-5.298082,-0.150832,-10.294500
1,10,5.562378,-5.759944,-0.098783,-11.322322
1,11,1.389267,-1.652205,-0.131469,-3.041472
1,12,2.519756,-2.748709,-0.114476,-5.268465
1,13,2.292558,-2.546164,-0.126803,-4.838722
1,14,0.733441,-1.033735,-0.150147,-1.767176
1,15,2.766968,-2.927312,-0.080172,-5.694280
1,16,0.377920,-0.722482,-0.172281,-1.100402
1,17,1.435213,-1.729922,-0.147354,-3.165136
1,18,2.480212,-2.827818,-0.173803,-5.308030
1,19,1.715673,-1.916399,-0.100363,-3.632071
1,20,3.267263,-3.257012,0.005126,-6.524275
1,21,4.582918,-4.462305,0.060307,-9.045223
1,22,4.301737,-4.707006,-0.202634,-9.008743
1,23,3.239983,-3.681817,-0.220917,-6.921800
1,24,1.847550,-2.005166,-0.078808,-3.852716
1,25,1.153873,-1.349152,-0.097640,-2.503026
1,26,1.409570,-1.583008,-0.086719,-2.992579
1,27,0.241331,0.596005,0.418668,0.354674
1,28,3.492245,-3.821743,-0.164749,-7.313988
1,29,3.370324,-3.633396,-0.131536,-7.003720
1,30,5.441204,-5.757842,-0.158319,-11.199046
1,31,0.240491,-0.202071,0.019210,-0.442562
1,32,0.861829,-1.140258,-0.139215,-2.002087
1,33,2.710870,-3.083464,-0.186297,-5.794335
1,34,0.672830,-1.009997,-0.168583,-1.682826
1,35,4.055613,-4.277112,-0.110750,-8.332725
1,36,1.516648,-1.626446,-0.054899,-3.143094
1,37,2.836849,-3.020529,-0.091840,-5.857378
1,38,1.164517,-1.309196,-0.072339,-2.473713
1,39,0.424283,-0.713070,-0.144393,-1.137354
2,0,-1.052836,1.635470,0.291317,2.688306
2,1,0.219516,-0.105050,0.057233,-0.324566
2,2,0.739306,-0.750116,-0.005405,-1.489422
2,3,1.840681,-2.088904,-0.124111,-3.929585
2,4,-0.135084,-0.335646,-0.235365,-0.200562
2,5,4.097943,-3.861908,0.118017,-7.959851
2,6,3.351795,-3.668077,-0.158141,-7.019872
2,7,-0.187210,0.364996,0.088893,0.552206
2,8,2.222276,-2.481388,-0.129556,-4.703664
2,9,-0.246756,0.197001,-0.024878,0.443757
2,10,2.314569,-2.502799,-0.094115,-4.817368
2,11,1.514208,-1.793466,-0.139629,-3.307674
2,12,2.292896,-2.639552,-0.173328,-4.932448
2,13,2.726865,-2.984080,-0.128608,-5.710944
2,14,4.472785,-4.746280,-0.136747,-9.219065
2,15,2.690824,-2.856800,-0.082988,-5.547623
2,16,0.380733,-0.507638,-0.063452,-0.888371
2,17,3.074089,-2.901243,0.086423,-5.975332
2,18,1.468422,-1.675831,-0.103705,-3.144253
2,19,3.391352,-3.518778,-0.063713,-6.910131
2,20,-0.968136,0.280016,-0.344060,1.248152
