batch,i,z1_nomatch,z2_match,m,gap
0,0,0.304783,-0.264807,0.019988,-0.569590
0,1,1.064656,-1.273016,-0.104180,-2.337672
0,2,2.798756,-3.052206,-0.126725,-5.850961
0,3,2.525654,-2.677846,-0.076096,-5.203500
0,4,1.276113,-1.292106,-0.007996,-2.568219
0,5,0.068602,-0.229023,-0.080210,-0.297625
0,6,1.961659,-1.569651,0.196004,-3.531310
0,7,3.680148,-3.875096,-0.097474,-7.555244
0,8,1.274376,-1.536353,-0.130988,-2.810728
0,9,0.459084,-0.783494,-0.162205,-1.242579
0,10,2.750708,-2.894562,-0.071927,-5.645270
0,11,0.728956,-0.885975,-0.078510,-1.614930
0,12,0.278386,-0.481584,-0.101599,-0.759970
0,13,2.988770,-2.758524,0.115123,-5.747293
0,14,1.402199,-1.660345,-0.129073,-3.062544
0,15,3.892204,-4.239330,-0.173563,-8.131534
0,16,2.113225,-2.241966,-0.064370,-4.355191
0,17,1.622866,-1.704900,-0.041017,-3.327766
0,18,3.441517,-3.350239,0.045639,-6.791756
0,19,0.495257,-0.472637,0.011310,-0.967894
0,20,0.433685,-0.681668,-0.123991,-1.115353
0,21,0.149024,-0.374205,-0.112590,-0.523230
0,22,-1.857273,1.182317,-0.337478,3.039590
0,23,0.401458,-0.543045,-0.070793,-0.944503
0,24,0.937498,-1.083890,-0.073196,-2.021388
0,25,1.829330,-2.065670,-0.118170,-3.895001
0,26,1.307834,-1.644049,-0.168108,-2.951883
0,27,-0.257236,0.751146,0.246955,1.008383
0,28,4.478882,-4.078902,0.199990,-8.557785
0,29,2.737354,-2.987088,-0.124867,-5.724442
0,30,0.874233,-1.061376,-0.093571,-1.935610
0,31,3.083162,-3.126368,-0.021603,-6.209530
0,32,1.313330,-1.425606,-0.056138,-2.738935
0,33,4.209465,-4.609509,-0.200022,-8.818974
0,34,0.422483,-0.806626,-0.192071,-1.229109
0,35,1.402425,-1.553990,-0.075783,-2.956416
