batch,i,z1_nomatch,z2_match,m,gap
0,0,-1.244924,1.287241,0.021158,2.532165
0,1,-0.539581,0.374658,-0.082461,0.914239
0,2,-1.227305,0.300088,-0.463609,1.527393
0,3,-0.617980,0.730923,0.056472,1.348903
0,4,-0.161561,-0.309137,-0.235349,-0.147576
0,5,0.525363,-0.664319,-0.069478,-1.189681
0,6,-0.259136,-0.431423,-0.345280,-0.172287
0,7,-1.629582,1.708099,0.039258,3.337681
0,8,-0.250002,-0.399931,-0.324966,-0.149929
0,9,-0.136872,0.059653,-0.038609,0.196525
0,10,-0.877242,0.472112,-0.202565,1.349354
0,11,-0.574327,0.791889,0.108781,1.366216
0,12,-1.304993,1.311657,0.003332,2.616650
0,13,1.579334,-1.166096,0.206619,-2.745430
0,14,-2.215429,2.051164,-0.082132,4.266593
0,15,-2.685053,2.522788,-0.081133,5.207841
0,16,-2.093689,1.406758,-0.343465,3.500447
0,17,0.097869,-0.220256,-0.061194,-0.318124
0,18,2.853472,-2.768348,0.042562,-5.621819
0,19,-0.730813,0.504863,-0.112975,1.235676
0,20,-0.701020,0.439642,-0.130689,1.140663
0,21,-1.074499,1.296804,0.111152,2.371303
0,22,-0.580207,0.069528,-0.255339,0.649735
0,23,0.523701,-0.872773,-0.174536,-1.396475
0,24,-0.908833,0.928205,0.009686,1.837038
0,25,0.022467,0.195493,0.108980,0.173026
0,26,-2.591998,2.387817,-0.102090,4.979815
0,27,-1.095918,1.146481,0.025282,2.242399
0,28,-1.816300,1.290996,-0.262652,3.107296
0,29,-0.073260,0.499265,0.213002,0.572525
0,30,0.316040,-0.680878,-0.182419,-0.996918
0,31,-0.117422,-0.398480,-0.257951,-0.281058
0,32,-1.953161,1.732774,-0.110193,3.685936
0,33,-2.598057,2.481455,-0.058301,5.079512
0,34,0.390989,-0.761194,-0.185103,-1.152183
0,35,-1.223009,0.899763,-0.161623,2.122773
0,36,-0.961331,0.167677,-0.396827,1.129008
0,37,-1.670290,1.123201,-0.273544,2.793491
0,38,-0.253580,-0.059670,-0.156625,0.193910
0,39,-0.382544,-0.175561,-0.279053,0.206983
1,0,-1.129484,0.673697,-0.227894,1.803181
1,1,-2.808073,2.536476,-0.135799,5.344549
1,2,-1.792735,1.393969,-0.199383,3.186704
1,3,-0.322485,0.597692,0.137603,0.920177
1,4,-1.641063,2.246830,0.302883,3.887893
1,5,-2.193494,1.584577,-0.304459,3.778071
