batch,i,z1_nomatch,z2_match,m,gap
0,0,3.360084,-3.386057,-0.012987,-6.746141
0,1,1.200787,-1.220123,-0.009668,-2.420910
0,2,2.706625,-2.743727,-0.018551,-5.450352
0,3,1.011482,-1.017594,-0.003056,-2.029076
0,4,0.926841,-0.945359,-0.009259,-1.872200
0,5,2.211333,-2.229327,-0.008997,-4.440660
0,6,1.686802,-1.714816,-0.014007,-3.401618
0,7,2.467486,-2.505377,-0.018945,-4.972863
0,8,0.036685,-0.044755,-0.004035,-0.081440
0,9,2.746337,-2.778304,-0.015983,-5.524640
0,10,0.611813,-0.622756,-0.005472,-1.234569
0,11,-0.793749,0.781985,-0.005882,1.575734
0,12,6.060056,-6.097259,-0.018601,-12.157315
0,13,0.151725,-0.163979,-0.006127,-0.315704
0,14,0.564284,-0.596626,-0.016171,-1.160910
0,15,5.444654,-5.480751,-0.018048,-10.925406
0,16,1.782819,-1.789626,-0.003404,-3.572445
0,17,-0.210187,0.206766,-0.001710,0.416954
0,18,-1.182081,1.178982,-0.001550,2.361063
0,19,0.369939,-0.393860,-0.011960,-0.763799
0,20,5.644609,-5.684285,-0.019838,-11.328894
0,21,3.133324,-3.157802,-0.012239,-6.291126
0,22,1.469041,-1.488249,-0.009604,-2.957289
0,23,0.651798,-0.662505,-0.005354,-1.314303
0,24,0.975190,-0.991482,-0.008146,-1.966672
0,25,-0.571060,0.559530,-0.005765,1.130591
0,26,2.018722,-2.053254,-0.017266,-4.071975
0,27,-0.631550,0.620783,-0.005383,1.252333
0,28,3.097504,-3.127391,-0.014944,-6.224895
0,29,1.320514,-1.333148,-0.006317,-2.653662
0,30,-0.245725,0.242773,-0.001476,0.488498
0,31,1.353671,-1.369936,-0.008133,-2.723607
0,32,0.764276,-0.782355,-0.009040,-1.546631
0,33,-0.339612,0.318203,-0.010704,0.657815
0,34,-0.034209,0.029242,-0.002484,0.063450
0,35,2.369829,-2.402842,-0.016506,-4.772671
0,36,3.557625,-3.577871,-0.010123,-7.135496
0,37,2.338546,-2.379126,-0.020290,-4.717672
0,38,1.510907,-1.542411,-0.015752,-3.053318
0,39,5.031053,-5.057991,-0.013469,-10.089044
1,0,1.155600,-1.187387,-0.015893,-2.342987
1,1,4.382685,-4.417865,-0.017590,-8.800550
1,2,0.639341,-0.648619,-0.004639,-1.287959
1,3,1.783198,-1.817854,-0.017328,-3.601051
1,4,2.009152,-2.032262,-0.011555,-4.041414
1,5,3.523420,-3.559965,-0.018272,-7.083385
1,6,1.136223,-1.152468,-0.008122,-2.288690
1,7,-1.695055,1.688975,-0.003040,3.384030
1,8,1.572882,-1.593083,-0.010101,-3.165965
1,9,4.515240,-4.547185,-0.015973,-9.062426
1,10,4.557607,-4.590784,-0.016588,-9.148391
1,11,1.682630,-1.701442,-0.009406,-3.384072
1,12,1.680945,-1.695066,-0.007061,-3.376011
1,13,2.093076,-2.112629,-0.009776,-4.205705
1,14,-0.391535,0.389381,-0.001077,0.780916
1,15,2.446393,-2.457676,-0.005642,-4.904069
1,16,0.771469,-0.781261,-0.004896,-1.552730
1,17,1.356688,-1.364394,-0.003853,-2.721082
1,18,1.230785,-1.261635,-0.015425,-2.492421
1,19,1.410309,-1.438318,-0.014005,-2.848628
1,20,2.264690,-2.293242,-0.014276,-4.557932
1,21,5.340486,-5.365776,-0.012645,-10.706262
1,22,3.703259,-3.744846,-0.020794,-7.448106
1,23,3.131949,-3.164007,-0.016029,-6.295956
1,24,0.193265,-0.214074,-0.010404,-0.407338
1,25,2.411741,-2.435686,-0.011973,-4.847428
1,26,0.888096,-0.917082,-0.014493,-1.805178
1,27,-2.035994,2.018980,-0.008507,4.054974
1,28,2.085058,-2.120736,-0.017839,-4.205794
1,29,2.780103,-2.828232,-0.024065,-5.608335
1,30,5.411242,-5.453020,-0.020889,-10.864262
1,31,-0.302157,0.303236,0.000539,0.605393
1,32,-0.470149,0.473581,0.001716,0.943729
1,33,2.288264,-2.319429,-0.015582,-4.607693
1,34,1.040429,-1.058678,-0.009125,-2.099107
1,35,4.486343,-4.532335,-0.022996,-9.018678
1,36,1.822179,-1.853531,-0.015676,-3.675710
1,37,3.131341,-3.156470,-0.012565,-6.287811
1,38,2.112300,-2.136779,-0.012239,-4.249080
1,39,0.730233,-0.746974,-0.008370,-1.477207
2,0,-1.032294,1.014456,-0.008919,2.046750
2,1,0.211256,-0.213543,-0.001143,-0.424799
2,2,0.083336,-0.089944,-0.003304,-0.173280
2,3,1.404463,-1.434963,-0.015250,-2.839425
2,4,0.810427,-0.824871,-0.007222,-1.635298
2,5,6.049551,-6.090408,-0.020428,-12.139959
2,6,3.584340,-3.615814,-0.015737,-7.200154
2,7,-1.855314,1.853800,-0.000757,3.709114
2,8,2.381612,-2.414417,-0.016402,-4.796030
2,9,-0.090410,0.086254,-0.002078,0.176664
2,10,1.759627,-1.770805,-0.005589,-3.530432
2,11,-0.359005,0.355822,-0.001592,0.714827
2,12,2.469509,-2.502786,-0.016638,-4.972295
2,13,2.050967,-2.064742,-0.006888,-4.115708
2,14,2.605764,-2.630325,-0.012280,-5.236089
2,15,1.010998,-1.037933,-0.013468,-2.048931
2,16,-0.682350,0.683443,0.000547,1.365793
2,17,5.071627,-5.115636,-0.022004,-10.187263
2,18,2.978564,-3.023827,-0.022632,-6.002390
2,19,1.944603,-1.960362,-0.007880,-3.904965
2,20,0.848036,-0.868544,-0.010254,-1.716580
2,21,-0.642871,0.637273,-0.002799,1.280144
2,22,1.655030,-1.670560,-0.007765,-3.325590
2,23,3.207325,-3.238173,-0.015424,-6.445498
2,24,2.535072,-2.559239,-0.012083,-5.094311
2,25,2.328558,-2.362459,-0.016950,-4.691017
2,26,1.461326,-1.474397,-0.006535,-2.935723
2,27,-0.508073,0.501311,-0.003381,1.009384
2,28,0.374887,-0.377243,-0.001178,-0.752130
2,29,-1.940035,1.936213,-0.001911,3.876247
2,30,1.827582,-1.867207,-0.019813,-3.694788
2,31,1.539142,-1.566553,-0.013706,-3.105695
2,32,1.310578,-1.328763,-0.009092,-2.639342
2,33,6.114998,-6.149477,-0.017240,-12.264475
2,34,1.434733,-1.457414,-0.011341,-2.892147
2,35,2.187332,-2.218800,-0.015734,-4.406132
2,36,0.226912,-0.235567,-0.004327,-0.462479
2,37,1.103291,-1.119179,-0.007944,-2.222470
2,38,1.247713,-1.264608,-0.008447,-2.512321
2,39,3.539539,-3.581059,-0.020760,-7.120598
3,0,1.710718,-1.743903,-0.016592,-3.454622
3,1,2.148877,-2.165923,-0.008523,-4.314801
3,2,3.344823,-3.367805,-0.011491,-6.712628
3,3,-0.572579,0.570972,-0.000803,1.143551
3,4,2.688341,-2.708746,-0.010203,-5.397087
3,5,-0.560929,0.542779,-0.009075,1.103709
3,6,-0.398108,0.401508,0.001700,0.799616
3,7,1.436716,-1.452251,-0.007767,-2.888966
3,8,0.571739,-0.592861,-0.010561,-1.164600
3,9,1.334871,-1.352984,-0.009057,-2.687855
3,10,4.907869,-4.937791,-0.014961,-9.845660
3,11,3.074068,-3.105003,-0.015467,-6.179071
3,12,-0.080027,0.076786,-0.001620,0.156812
3,13,-0.918671,0.915059,-0.001806,1.833730
3,14,1.130969,-1.143510,-0.006271,-2.274479
3,15,1.366815,-1.389371,-0.011278,-2.756186
3,16,0.765036,-0.773277,-0.004120,-1.538313
3,17,1.010780,-1.028929,-0.009075,-2.039709
3,18,0.828208,-0.840769,-0.006280,-1.668977
3,19,-2.556949,2.575083,0.009067,5.132032
3,20,1.189192,-1.211493,-0.011151,-2.400685
3,21,2.030792,-2.050885,-0.010046,-4.081677
3,22,1.411294,-1.422737,-0.005722,-2.834031
3,23,2.213049,-2.236823,-0.011887,-4.449872
3,24,-1.659013,1.656746,-0.001133,3.315759
3,25,0.833402,-0.844341,-0.005469,-1.677742
3,26,0.173776,-0.190639,-0.008431,-0.364415
3,27,0.592552,-0.601959,-0.004703,-1.194511
3,28,-0.162607,0.166985,0.002189,0.329592
3,29,-0.110770,0.103431,-0.003670,0.214201
3,30,1.572847,-1.605774,-0.016463,-3.178621
3,31,4.874782,-4.913986,-0.019602,-9.788768
3,32,-0.617658,0.615253,-0.001203,1.232910
3,33,0.564846,-0.570156,-0.002655,-1.135003
3,34,0.768287,-0.776321,-0.004017,-1.544608
3,35,0.594134,-0.623049,-0.014458,-1.217183
3,36,1.224530,-1.248028,-0.011749,-2.472557
3,37,4.019134,-4.063249,-0.022058,-8.082383
3,38,4.237388,-4.266902,-0.014757,-8.504290
3,39,1.657508,-1.681484,-0.011988,-3.338992
4,0,0.176696,-0.199105,-0.011205,-0.375801
4,1,0.569128,-0.578879,-0.004876,-1.148007
4,2,0.680337,-0.698820,-0.009242,-1.379156
4,3,1.302605,-1.333579,-0.015487,-2.636184
4,4,0.939301,-0.948531,-0.004615,-1.887832
4,5,0.871666,-0.901132,-0.014733,-1.772798
4,6,2.626138,-2.661731,-0.017797,-5.287868
4,7,2.704628,-2.736343,-0.015858,-5.440970
4,8,0.518708,-0.535231,-0.008262,-1.053939
4,9,0.901015,-0.913227,-0.006106,-1.814242
4,10,0.874698,-0.895535,-0.010419,-1.770233
4,11,0.251453,-0.260366,-0.004456,-0.511819
4,12,1.235832,-1.237870,-0.001019,-2.473702
4,13,0.924635,-0.943106,-0.009235,-1.867741
4,14,0.735922,-0.742601,-0.003339,-1.478523
4,15,0.239044,-0.249952,-0.005454,-0.488996
4,16,0.835715,-0.848649,-0.006467,-1.684364
4,17,-0.418781,0.418238,-0.000272,0.837019
4,18,0.077299,-0.100849,-0.011775,-0.178149
4,19,-0.151857,0.144711,-0.003573,0.296569
4,20,2.508508,-2.533301,-0.012396,-5.041809
4,21,0.531647,-0.559010,-0.013682,-1.090656
4,22,0.643726,-0.643480,0.000123,-1.287206
4,23,0.543312,-0.558694,-0.007691,-1.102006
4,24,1.131886,-1.139609,-0.003861,-2.271495
4,25,2.075804,-2.119318,-0.021757,-4.195122
4,26,1.105358,-1.138362,-0.016502,-2.243721
4,27,3.392234,-3.419165,-0.013466,-6.811398
4,28,1.042145,-1.041062,0.000541,-2.083207
4,29,1.024711,-1.048367,-0.011828,-2.073077
4,30,1.757169,-1.775336,-0.009084,-3.532505
4,31,4.076064,-4.102103,-0.013020,-8.178167
4,32,2.063883,-2.089405,-0.012761,-4.153287
4,33,0.580758,-0.586076,-0.002659,-1.166834
4,34,-0.634208,0.635773,0.000782,1.269981
4,35,0.408072,-0.423187,-0.007558,-0.831259
4,36,1.541492,-1.568838,-0.013673,-3.110330
4,37,0.588622,-0.591234,-0.001306,-1.179856
4,38,2.230203,-2.250188,-0.009992,-4.480391
4,39,0.977408,-0.993825,-0.008209,-1.971233
5,0,2.167234,-2.185416,-0.009091,-4.352649
5,1,1.419716,-1.438488,-0.009386,-2.858204
5,2,2.573569,-2.603836,-0.015133,-5.177405
5,3,0.204798,-0.222874,-0.009038,-0.427672
5,4,0.444110,-0.464945,-0.010417,-0.909055
5,5,2.807826,-2.825043,-0.008609,-5.632869
5,6,0.875100,-0.889570,-0.007235,-1.764670
5,7,-0.944049,0.938836,-0.002607,1.882884
5,8,3.276345,-3.307602,-0.015629,-6.583948
5,9,2.054419,-2.089678,-0.017630,-4.144098
5,10,1.045115,-1.053170,-0.004028,-2.098284
5,11,0.521174,-0.525394,-0.002110,-1.046568
5,12,1.857363,-1.885973,-0.014305,-3.743337
5,13,0.763763,-0.785578,-0.010907,-1.549341
5,14,-0.173959,0.173755,-0.000102,0.347714
