batch,i,z1_nomatch,z2_match,m,gap
0,0,-0.793749,0.781985,-0.005882,1.575734
0,1,1.160485,-1.171474,-0.005494,-2.331959
0,2,1.933761,-1.974745,-0.020492,-3.908506
0,3,4.325946,-4.349673,-0.011864,-8.675619
0,4,1.186539,-1.218067,-0.015764,-2.404605
0,5,0.276546,-0.292094,-0.007774,-0.568640
0,6,2.706625,-2.743727,-0.018551,-5.450352
0,7,2.041622,-2.052551,-0.005465,-4.094173
0,8,2.253993,-2.284882,-0.015444,-4.538875
0,9,-0.296928,0.290321,-0.003303,0.587249
0,10,2.932153,-2.960335,-0.014091,-5.892488
0,11,-0.241521,0.235901,-0.002810,0.477422
0,12,-0.245725,0.242773,-0.001476,0.488498
0,13,4.620665,-4.645497,-0.012416,-9.266161
0,14,0.334580,-0.336882,-0.001151,-0.671461
0,15,2.152713,-2.166967,-0.007127,-4.319680
0,16,1.144897,-1.159660,-0.007381,-2.304557
0,17,0.147402,-0.153237,-0.002918,-0.300639
0,18,1.924625,-1.940511,-0.007943,-3.865136
0,19,0.512311,-0.541808,-0.014748,-1.054118
0,20,1.105005,-1.114275,-0.004635,-2.219280
0,21,-1.439256,1.443946,0.002345,2.883202
0,22,-0.339612,0.318203,-0.010704,0.657815
0,23,0.036685,-0.044755,-0.004035,-0.081440
0,24,-0.631550,0.620783,-0.005383,1.252333
0,25,2.532623,-2.558175,-0.012776,-5.090798
0,26,0.650369,-0.660916,-0.005273,-1.311285
0,27,1.202226,-1.238003,-0.017888,-2.440230
0,28,5.226913,-5.252459,-0.012773,-10.479372
0,29,2.215689,-2.248151,-0.016231,-4.463840
0,30,0.738545,-0.746957,-0.004206,-1.485502
0,31,4.719086,-4.746473,-0.013693,-9.465559
0,32,1.672724,-1.704985,-0.016131,-3.377710
0,33,3.617161,-3.642540,-0.012689,-7.259701
0,34,1.934173,-1.956895,-0.011361,-3.891068
0,35,2.221561,-2.256016,-0.017228,-4.477577
0,36,1.605027,-1.625836,-0.010405,-3.230864
0,37,2.298331,-2.319207,-0.010438,-4.617537
0,38,2.764050,-2.794492,-0.015221,-5.558542
0,39,2.206670,-2.223204,-0.008267,-4.429873
1,0,2.304763,-2.324051,-0.009644,-4.628815
1,1,0.918689,-0.938152,-0.009732,-1.856840
1,2,1.150641,-1.170872,-0.010116,-2.321513
1,3,-2.035994,2.018980,-0.008507,4.054974
1,4,3.996294,-4.041234,-0.022470,-8.037528
1,5,4.487753,-4.527922,-0.020084,-9.015676
1,6,-0.302157,0.303236,0.000539,0.605393
1,7,1.572882,-1.593083,-0.010101,-3.165965
1,8,0.152374,-0.169254,-0.008440,-0.321628
1,9,2.463021,-2.482197,-0.009588,-4.945218
1,10,5.143359,-5.170731,-0.013686,-10.314090
1,11,1.896113,-1.903537,-0.003712,-3.799651
1,12,2.166631,-2.194560,-0.013965,-4.361191
1,13,1.497213,-1.511741,-0.007264,-3.008954
1,14,3.486798,-3.507736,-0.010469,-6.994534
1,15,2.112300,-2.136779,-0.012239,-4.249080
1,16,2.264690,-2.293242,-0.014276,-4.557932
1,17,-0.668057,0.649186,-0.009435,1.317243
1,18,3.442770,-3.468327,-0.012778,-6.911097
1,19,0.729069,-0.746728,-0.008830,-1.475798
1,20,1.237228,-1.255846,-0.009309,-2.493073
1,21,-0.036632,0.031487,-0.002573,0.068119
1,22,3.507726,-3.527484,-0.009879,-7.035210
1,23,4.098001,-4.133974,-0.017987,-8.231975
1,24,-1.115750,1.113597,-0.001077,2.229347
1,25,2.826928,-2.852761,-0.012917,-5.679689
1,26,-0.401410,0.394781,-0.003314,0.796191
1,27,2.908062,-2.938549,-0.015243,-5.846610
1,28,2.159194,-2.187182,-0.013994,-4.346376
1,29,0.028371,-0.043105,-0.007367,-0.071476
1,30,5.249778,-5.285721,-0.017972,-10.535499
1,31,1.032231,-1.052251,-0.010010,-2.084481
1,32,1.234967,-1.250305,-0.007669,-2.485272
1,33,4.697480,-4.721733,-0.012126,-9.419213
1,34,2.595987,-2.623765,-0.013889,-5.219753
1,35,3.821678,-3.870994,-0.024658,-7.692672
1,36,0.818095,-0.823814,-0.002859,-1.641909
1,37,3.670038,-3.699773,-0.014867,-7.369811
1,38,2.581744,-2.604726,-0.011491,-5.186471
1,39,0.951659,-0.971670,-0.010006,-1.923329
2,0,1.655030,-1.670560,-0.007765,-3.325590
2,1,6.331207,-6.369571,-0.019182,-12.700778
2,2,-1.032294,1.014456,-0.008919,2.046750
2,3,2.667226,-2.692245,-0.012510,-5.359471
2,4,-0.642871,0.637273,-0.002799,1.280144
2,5,2.695998,-2.729458,-0.016730,-5.425456
2,6,6.049551,-6.090408,-0.020428,-12.139959
2,7,-0.682350,0.683443,0.000547,1.365793
2,8,4.624567,-4.655180,-0.015306,-9.279747
2,9,-0.953675,0.942730,-0.005473,1.896406
2,10,-0.508073,0.501311,-0.003381,1.009384
2,11,0.083336,-0.089944,-0.003304,-0.173280
2,12,0.226912,-0.235567,-0.004327,-0.462479
2,13,0.909022,-0.918047,-0.004512,-1.827069
2,14,2.103045,-2.129865,-0.013410,-4.232911
2,15,1.396626,-1.422972,-0.013173,-2.819597
2,16,-1.855314,1.853800,-0.000757,3.709114
2,17,3.161068,-3.188382,-0.013657,-6.349450
2,18,1.048505,-1.059247,-0.005371,-2.107752
2,19,0.948669,-0.970368,-0.010849,-1.919037
2,20,2.333173,-2.358107,-0.012467,-4.691280
2,21,1.654593,-1.676515,-0.010961,-3.331108
2,22,0.128301,-0.139778,-0.005738,-0.268078
2,23,1.103291,-1.119179,-0.007944,-2.222470
2,24,3.539539,-3.581059,-0.020760,-7.120598
2,25,1.018919,-1.024173,-0.002627,-2.043092
2,26,4.634797,-4.679471,-0.022337,-9.314268
2,27,-0.090410,0.086254,-0.002078,0.176664
2,28,1.725992,-1.747280,-0.010644,-3.473272
2,29,0.848036,-0.868544,-0.010254,-1.716580
2,30,0.810427,-0.824871,-0.007222,-1.635298
2,31,1.330724,-1.346007,-0.007641,-2.676731
2,32,3.451994,-3.484805,-0.016405,-6.936800
2,33,2.233800,-2.255596,-0.010898,-4.489396
2,34,0.181076,-0.192596,-0.005760,-0.373672
2,35,0.557388,-0.577822,-0.010217,-1.135210
2,36,-0.819862,0.822281,0.001210,1.642143
