batch,i,z1_nomatch,z2_match,m,gap
0,0,-0.741209,0.737912,-0.001649,1.479121
0,1,-1.844293,1.839868,-0.002213,3.684161
0,2,0.391375,-0.419940,-0.014283,-0.811315
0,3,-0.671680,0.671338,-0.000171,1.343018
0,4,1.473125,-1.490021,-0.008448,-2.963146
0,5,-0.109913,0.099170,-0.005372,0.209083
0,6,2.781466,-2.825931,-0.022233,-5.607397
0,7,-3.582268,3.582749,0.000240,7.165018
0,8,0.830094,-0.848610,-0.009258,-1.678703
0,9,-1.851640,1.845028,-0.003306,3.696668
0,10,-0.577080,0.568066,-0.004507,1.145145
0,11,-2.583339,2.587890,0.002275,5.171230
0,12,-2.049139,2.053563,0.002212,4.102703
0,13,2.863472,-2.897198,-0.016863,-5.760670
0,14,-3.283516,3.279424,-0.002046,6.562940
0,15,-2.971712,2.984679,0.006483,5.956390
0,16,-0.681014,0.680681,-0.000166,1.361695
0,17,-1.432214,1.438472,0.003129,2.870685
0,18,2.734867,-2.757612,-0.011373,-5.492478
0,19,-0.384366,0.365982,-0.009192,0.750348
0,20,0.328470,-0.344150,-0.007840,-0.672620
0,21,-1.903687,1.913325,0.004819,3.817012
0,22,0.175959,-0.192474,-0.008258,-0.368433
0,23,-0.156338,0.151229,-0.002554,0.307567
0,24,-0.603340,0.604869,0.000764,1.208209
0,25,0.597178,-0.614551,-0.008687,-1.211729
0,26,-1.614665,1.615901,0.000618,3.230566
0,27,-1.943484,1.937364,-0.003060,3.880847
0,28,1.676769,-1.697715,-0.010473,-3.374484
0,29,-1.504729,1.502153,-0.001288,3.006882
0,30,0.565090,-0.572130,-0.003520,-1.137220
0,31,2.962135,-2.991999,-0.014932,-5.954134
0,32,-1.820020,1.812699,-0.003661,3.632719
0,33,-2.700304,2.690976,-0.004664,5.391280
0,34,0.892296,-0.900561,-0.004133,-1.792857
0,35,1.072567,-1.099648,-0.013540,-2.172215
0,36,0.717469,-0.720773,-0.001652,-1.438242
0,37,-1.693773,1.662652,-0.015561,3.356425
0,38,1.665761,-1.699437,-0.016838,-3.365198
0,39,2.575624,-2.592025,-0.008201,-5.167648
1,0,-1.175612,1.163190,-0.006211,2.338803
1,1,-3.364048,3.376821,0.006386,6.740869
1,2,-1.555843,1.557930,0.001043,3.113773
1,3,-1.717353,1.707359,-0.004997,3.424713
1,4,-2.294324,2.283360,-0.005482,4.577684
1,5,-1.644707,1.611230,-0.016739,3.255937
1,6,-0.040754,0.035026,-0.002864,0.075779
1,7,0.591181,-0.609313,-0.009066,-1.200494
1,8,1.369667,-1.390997,-0.010665,-2.760665
1,9,-2.034642,2.037478,0.001418,4.072120
1,10,-0.872324,0.860264,-0.006030,1.732588
1,11,-1.886352,1.885830,-0.000261,3.772182
1,12,-0.917755,0.920786,0.001515,1.838540
1,13,-2.859997,2.870680,0.005341,5.730676
1,14,0.211129,-0.213829,-0.001350,-0.424958
1,15,2.545649,-2.565304,-0.009828,-5.110953
1,16,2.988729,-3.027553,-0.019412,-6.016282
1,17,-2.829284,2.846546,0.008631,5.675829
1,18,-3.412916,3.417249,0.002167,6.830164
1,19,-3.338125,3.345549,0.003712,6.683674
1,20,-4.286458,4.311788,0.012665,8.598246
1,21,-1.053929,1.055508,0.000789,2.109438
1,22,-3.560485,3.566255,0.002885,7.126741
1,23,2.070414,-2.093650,-0.011618,-4.164063
1,24,-3.967501,3.969277,0.000888,7.936779
1,25,1.492475,-1.513279,-0.010402,-3.005753
1,26,-2.090191,2.075104,-0.007544,4.165295
1,27,1.149561,-1.183046,-0.016743,-2.332606
1,28,-3.680798,3.671706,-0.004546,7.352504
1,29,-3.268303,3.254328,-0.006987,6.522631
1,30,-4.717446,4.725861,0.004207,9.443307
1,31,1.003984,-1.021784,-0.008900,-2.025768
1,32,0.530548,-0.530250,0.000149,-1.060797
1,33,-3.381786,3.379919,-0.000934,6.761704
1,34,-1.577985,1.576463,-0.000761,3.154448
1,35,-3.042450,3.030825,-0.005813,6.073274
1,36,0.647035,-0.658156,-0.005560,-1.305192
1,37,-4.180164,4.201108,0.010472,8.381272
1,38,0.827801,-0.843990,-0.008094,-1.671790
1,39,0.665401,-0.684488,-0.009544,-1.349889
2,0,-3.498262,3.501066,0.001402,6.999329
2,1,0.664601,-0.685839,-0.010619,-1.350440
2,2,-3.758928,3.766712,0.003892,7.525639
2,3,-3.273045,3.280488,0.003721,6.553532
2,4,-1.695157,1.700127,0.002485,3.395283
2,5,-3.688561,3.691147,0.001293,7.379708
2,6,-1.011112,1.014507,0.001697,2.025619
2,7,-1.723714,1.723919,0.000103,3.447634
2,8,-3.398525,3.391083,-0.003721,6.789608
2,9,-1.406125,1.412104,0.002989,2.818229
2,10,-0.806839,0.804327,-0.001256,1.611166
