batch,i,z1_nomatch,z2_match,m,gap
0,0,-0.020530,-0.551475,-0.286003,-0.530945
0,1,1.716139,-1.936451,-0.110156,-3.652591
0,2,0.563760,-0.809622,-0.122931,-1.373382
0,3,0.470198,-0.740830,-0.135316,-1.211028
0,4,1.407476,-1.727965,-0.160245,-3.135441
0,5,0.573497,-0.755975,-0.091239,-1.329472
0,6,1.986903,-2.169459,-0.091278,-4.156362
0,7,1.594743,-1.779014,-0.092135,-3.373757
0,8,0.573497,-0.755975,-0.091239,-1.329472
0,9,1.439554,-1.646644,-0.103545,-3.086198
0,10,4.497273,-4.316631,0.090321,-8.813904
0,11,3.030265,-3.334441,-0.152088,-6.364706
0,12,1.403818,-1.526913,-0.061548,-2.930731
0,13,-1.306745,1.198187,-0.054279,2.504932
0,14,1.310199,-1.476627,-0.083214,-2.786826
0,15,1.358780,-1.357113,0.000833,-2.715894
0,16,0.182347,-0.520760,-0.169207,-0.703107
0,17,-0.386920,0.050766,-0.168077,0.437686
0,18,3.417852,-3.306713,0.055570,-6.724566
0,19,0.659739,-0.980146,-0.160203,-1.639885
0,20,0.722174,-0.977346,-0.127586,-1.699521
0,21,1.033783,-1.249350,-0.107784,-2.283133
0,22,2.312086,-2.390680,-0.039297,-4.702766
0,23,0.244562,-0.507792,-0.131615,-0.752355
0,24,1.235066,-1.590483,-0.177708,-2.825550
0,25,4.029450,-3.919166,0.055142,-7.948617
0,26,4.901408,-4.866273,0.017567,-9.767681
0,27,2.872380,-3.007392,-0.067506,-5.879772
0,28,3.582600,-3.787981,-0.102691,-7.370581
0,29,1.473958,-1.757241,-0.141642,-3.231199
0,30,1.115261,-1.239608,-0.062173,-2.354868
0,31,3.291057,-3.435765,-0.072354,-6.726822
0,32,1.360145,-1.580942,-0.110399,-2.941087
0,33,0.466461,-0.722940,-0.128239,-1.189401
0,34,4.112494,-4.446963,-0.167235,-8.559457
0,35,2.617549,-2.928014,-0.155233,-5.545563
0,36,-0.183535,0.229801,0.023133,0.413336
0,37,2.000791,-2.069091,-0.034150,-4.069882
0,38,5.140363,-5.130769,0.004797,-10.271132
0,39,2.953231,-3.135459,-0.091114,-6.088690
1,0,2.864205,-3.352187,-0.243991,-6.216392
1,1,3.879524,-4.073231,-0.096853,-7.952755
1,2,0.244383,-0.020738,0.111823,-0.265121
1,3,1.544102,-1.775092,-0.115495,-3.319194
1,4,0.616316,-0.971292,-0.177488,-1.587608
1,5,0.988897,-0.997417,-0.004260,-1.986314
1,6,4.675450,-4.844409,-0.084480,-9.519860
1,7,2.255844,-2.445276,-0.094716,-4.701120
1,8,0.826004,-1.149838,-0.161917,-1.975842
1,9,2.114918,-2.133789,-0.009436,-4.248707
1,10,0.581964,-0.937918,-0.177977,-1.519883
1,11,1.477928,-1.848493,-0.185282,-3.326420
1,12,1.127431,-1.365418,-0.118994,-2.492850
1,13,3.974034,-4.355151,-0.190558,-8.329185
1,14,0.666208,-0.702630,-0.018211,-1.368837
1,15,2.281389,-2.190679,0.045355,-4.472068
1,16,2.033058,-2.341672,-0.154307,-4.374730
1,17,1.904094,-2.176374,-0.136140,-4.080468
1,18,2.627710,-2.973912,-0.173101,-5.601622
1,19,0.102864,-0.273908,-0.085522,-0.376771
1,20,3.829387,-4.154374,-0.162493,-7.983762
1,21,1.837577,-2.136184,-0.149303,-3.973761
1,22,0.781188,-1.052585,-0.135698,-1.833773
1,23,0.202602,-0.554988,-0.176193,-0.757590
1,24,0.065738,-0.195445,-0.064853,-0.261183
1,25,0.124879,-0.103492,0.010693,-0.228371
1,26,0.192827,-0.517868,-0.162520,-0.710695
1,27,0.849518,-1.069499,-0.109991,-1.919016
1,28,1.842049,-2.009196,-0.083573,-3.851245
1,29,0.619111,-0.924680,-0.152784,-1.543791
1,30,2.749650,-2.708276,0.020687,-5.457926
1,31,0.280415,-0.637436,-0.178510,-0.917851
1,32,1.695207,-1.853552,-0.079172,-3.548759
1,33,0.986713,-1.228454,-0.120871,-2.215167
1,34,1.080678,-1.143122,-0.031222,-2.223800
1,35,0.921519,-1.175719,-0.127100,-2.097238
1,36,0.586737,-0.742441,-0.077852,-1.329178
1,37,0.222070,0.874897,0.548484,0.652827
1,38,0.332573,-0.663043,-0.165235,-0.995617
1,39,1.223143,-1.182936,0.020103,-2.406079
2,0,0.147223,-0.138107,0.004558,-0.285331
2,1,0.553082,-0.888404,-0.167661,-1.441486
2,2,2.235672,-2.589614,-0.176971,-4.825287
2,3,0.676560,-1.010910,-0.167175,-1.687470
2,4,0.211407,-0.162678,0.024364,-0.374085
2,5,0.550353,-0.881623,-0.165635,-1.431976
2,6,2.293216,-2.451303,-0.079043,-4.744518
2,7,0.976895,-1.304872,-0.163989,-2.281767
2,8,0.111087,-0.127979,-0.008446,-0.239066
2,9,1.240666,-1.542298,-0.150816,-2.782964
2,10,0.555030,-0.770887,-0.107928,-1.325917
2,11,1.368649,-1.469669,-0.050510,-2.838318
