batch,i,z1_nomatch,z2_match,m,gap
0,0,0.563760,-0.809622,-0.122931,-1.373382
0,1,1.359457,-1.476636,-0.058589,-2.836093
0,2,-0.203617,-0.042240,-0.122929,0.161377
0,3,0.878884,-0.925178,-0.023147,-1.804062
0,4,4.625092,-5.013134,-0.194021,-9.638226
0,5,0.490590,-0.720653,-0.115031,-1.211243
0,6,1.310199,-1.476627,-0.083214,-2.786826
0,7,0.754739,-0.745783,0.004478,-1.500522
0,8,-0.386920,0.050766,-0.168077,0.437686
0,9,0.630297,-0.850846,-0.110274,-1.481143
0,10,2.334179,-2.688323,-0.177072,-5.022502
0,11,0.907301,-1.023874,-0.058287,-1.931175
0,12,1.519746,-1.490357,0.014694,-3.010103
0,13,-0.183535,0.229801,0.023133,0.413336
0,14,1.122584,-1.381508,-0.129462,-2.504091
0,15,0.838982,-1.121648,-0.141333,-1.960630
0,16,2.083015,-2.059049,0.011983,-4.142064
0,17,0.573497,-0.755975,-0.091239,-1.329472
0,18,1.794803,-2.119007,-0.162102,-3.913810
0,19,2.634038,-2.864787,-0.115374,-5.498824
0,20,-0.411131,-0.243233,-0.327182,0.167898
0,21,2.670126,-2.918803,-0.124339,-5.588929
0,22,4.119759,-4.505155,-0.192698,-8.624914
0,23,1.427996,-1.560855,-0.066429,-2.988851
0,24,0.802307,-1.047681,-0.122687,-1.849988
0,25,3.307961,-3.587066,-0.139552,-6.895027
0,26,4.015629,-4.230771,-0.107571,-8.246400
0,27,2.317805,-2.513490,-0.097843,-4.831295
0,28,2.429620,-2.411235,0.009192,-4.840854
0,29,2.011728,-2.257214,-0.122743,-4.268942
0,30,3.038867,-3.412035,-0.186584,-6.450902
0,31,1.964720,-2.148770,-0.092025,-4.113490
0,32,2.633563,-3.013599,-0.190018,-5.647161
0,33,1.487675,-1.241303,0.123186,-2.728978
0,34,1.734535,-1.949869,-0.107667,-3.684404
0,35,4.147882,-4.535320,-0.193719,-8.683202
0,36,4.243347,-4.304212,-0.030432,-8.547559
0,37,0.182347,-0.520760,-0.169207,-0.703107
0,38,3.518111,-3.737894,-0.109891,-7.256005
0,39,0.888154,-1.219626,-0.165736,-2.107780
1,0,2.571443,-2.850112,-0.139334,-5.421555
1,1,2.155949,-2.216215,-0.030133,-4.372164
1,2,0.102864,-0.273908,-0.085522,-0.376771
1,3,-0.506272,-0.090748,-0.298510,0.415524
1,4,0.948524,-1.154392,-0.102934,-2.102916
1,5,3.810061,-4.096570,-0.143255,-7.906631
1,6,5.781478,-5.794135,-0.006328,-11.575613
1,7,2.173095,-2.335526,-0.081216,-4.508621
1,8,0.332573,-0.663043,-0.165235,-0.995617
1,9,2.345577,-2.642916,-0.148670,-4.988494
1,10,2.728109,-3.054724,-0.163308,-5.782832
1,11,0.928034,-1.188756,-0.130361,-2.116791
1,12,0.849518,-1.069499,-0.109991,-1.919016
1,13,3.708477,-3.882159,-0.086841,-7.590636
1,14,1.202337,-1.426066,-0.111865,-2.628404
1,15,4.282082,-4.608101,-0.163010,-8.890182
1,16,0.619111,-0.924680,-0.152784,-1.543791
1,17,0.541230,-0.771137,-0.114953,-1.312366
1,18,1.741377,-1.926665,-0.092644,-3.668042
1,19,0.837912,-0.822307,0.007803,-1.660219
