batch,i,z1_nomatch,z2_match,m,gap
0,0,-0.950459,0.399857,-0.275301,1.350317
0,1,-1.926118,1.002199,-0.461959,2.928317
0,2,-0.594208,0.292829,-0.150690,0.887037
0,3,0.105530,-0.470803,-0.182637,-0.576333
0,4,-2.852458,2.711842,-0.070308,5.564300
0,5,0.801787,-1.017726,-0.107970,-1.819513
0,6,-1.103269,0.811818,-0.145725,1.915087
0,7,-0.642101,-0.082220,-0.362160,0.559881
0,8,-0.484768,0.168958,-0.157905,0.653726
0,9,-1.111977,0.740896,-0.185540,1.852874
0,10,-2.010017,2.247714,0.118848,4.257731
0,11,-0.672530,0.994925,0.161197,1.667455
0,12,-0.783916,0.340319,-0.221799,1.124235
0,13,-1.000003,0.709613,-0.145195,1.709616
0,14,-1.064514,1.055691,-0.004412,2.120205
0,15,-1.156705,0.564991,-0.295857,1.721696
0,16,-0.979341,0.103917,-0.437712,1.083258
0,17,-1.128705,1.047534,-0.040586,2.176239
0,18,-1.649926,0.525520,-0.562203,2.175446
0,19,-0.922918,0.420044,-0.251437,1.342962
0,20,0.442760,-0.872324,-0.214782,-1.315084
0,21,-0.102072,0.030996,-0.035538,0.133068
0,22,-1.858546,1.671443,-0.093552,3.529989
0,23,-0.135064,-0.411112,-0.273088,-0.276048
0,24,-0.649379,0.629237,-0.010071,1.278617
0,25,-1.552283,1.239757,-0.156263,2.792040
0,26,-2.097248,1.652172,-0.222538,3.749421
0,27,-2.470913,2.662893,0.095990,5.133807
0,28,-0.982032,0.292056,-0.344988,1.274088
0,29,-1.062779,0.206987,-0.427896,1.269766
0,30,0.143612,1.264090,0.703851,1.120478
0,31,-0.827303,0.870476,0.021587,1.697778
0,32,-1.307792,1.268800,-0.019496,2.576592
0,33,0.565755,-0.630221,-0.032233,-1.195976
0,34,-1.131634,0.236329,-0.447653,1.367963
0,35,-4.146353,3.639613,-0.253370,7.785966
0,36,-1.499864,0.601566,-0.449149,2.101430
0,37,-0.233296,-0.264910,-0.249103,-0.031614
0,38,-1.291442,1.120833,-0.085304,2.412275
0,39,-1.755781,1.361581,-0.197100,3.117362
1,0,-4.507587,4.135436,-0.186076,8.643023
1,1,-0.512480,1.234131,0.360825,1.746611
1,2,-2.571150,2.400023,-0.085564,4.971174
1,3,-1.335012,0.719699,-0.307656,2.054712
1,4,-1.136801,0.198487,-0.469157,1.335288
1,5,0.229982,0.466422,0.348202,0.236440
1,6,-3.355330,3.420648,0.032659,6.775977
1,7,-3.579007,3.097218,-0.240895,6.676225
1,8,0.056763,-0.442210,-0.192723,-0.498974
1,9,-3.090889,2.714435,-0.188227,5.805323
1,10,-1.274622,1.613485,0.169431,2.888107
1,11,-1.886064,1.891600,0.002768,3.777664
1,12,-0.254664,-0.414389,-0.334526,-0.159725
1,13,0.040645,-0.043754,-0.001555,-0.084399
1,14,0.680084,-0.871673,-0.095795,-1.551757
1,15,-4.145090,3.835386,-0.154852,7.980476
1,16,-1.046128,1.441889,0.197881,2.488017
1,17,0.909460,-1.180730,-0.135635,-2.090189
1,18,-1.127115,0.985341,-0.070887,2.112456
1,19,2.278428,-2.256155,0.011136,-4.534584
1,20,-1.048828,0.385084,-0.331872,1.433912
1,21,-0.920948,0.298964,-0.310992,1.219912
1,22,-0.742383,0.832067,0.044842,1.574450
1,23,1.305013,-1.356686,-0.025837,-2.661698
1,24,-0.155302,-0.233679,-0.194491,-0.078377
1,25,-0.208236,-0.386805,-0.297520,-0.178569
1,26,-1.223193,1.003677,-0.109758,2.226869
1,27,-0.322753,-0.206061,-0.264407,0.116692
1,28,-1.068964,0.136566,-0.466199,1.205530
1,29,-0.905898,0.676606,-0.114646,1.582505
1,30,-0.056812,-0.187364,-0.122088,-0.130552
1,31,-0.176357,-0.460506,-0.318431,-0.284150
1,32,-0.923078,0.274622,-0.324228,1.197700
1,33,-1.134678,0.782393,-0.176143,1.917072
1,34,0.610266,-0.807821,-0.098778,-1.418087
1,35,0.086277,-0.520301,-0.217012,-0.606578
1,36,-0.103396,0.430874,0.163739,0.534270
1,37,-0.011847,-0.278144,-0.144995,-0.266297
1,38,-0.377465,-0.086108,-0.231787,0.291357
1,39,-0.657404,0.411201,-0.123102,1.068605
2,0,-1.625652,1.740567,0.057458,3.366220
2,1,-0.790410,0.748494,-0.020958,1.538905
2,2,-2.062849,2.692401,0.314776,4.755250
2,3,-0.615325,0.392562,-0.111382,1.007887
2,4,0.843400,-1.083618,-0.120109,-1.927018
2,5,-1.247187,1.213868,-0.016659,2.461055
2,6,-0.210526,0.438715,0.114094,0.649241
2,7,-0.355391,-0.102541,-0.228966,0.252850
2,8,-0.164087,-0.375575,-0.269831,-0.211488
2,9,-0.459258,-0.194259,-0.326758,0.264999
2,10,-1.010423,0.614085,-0.198169,1.624508
2,11,0.215922,0.178363,0.197143,-0.037559
2,12,-0.919395,0.506589,-0.206403,1.425984
2,13,-0.740602,0.667685,-0.036459,1.408287
2,14,-0.168752,0.091235,-0.038759,0.259988
2,15,-0.784079,2.056134,0.636027,2.840213
2,16,-1.270202,1.039158,-0.115522,2.309360
