batch,i,z1_nomatch,z2_match,m,gap
0,0,0.923008,-0.939684,-0.008338,-1.862692
0,1,0.368274,-0.376879,-0.004303,-0.745153
0,2,0.158485,-0.149707,0.004389,-0.308192
0,3,0.191140,-0.196374,-0.002617,-0.387514
0,4,1.533596,-1.549555,-0.007980,-3.083152
0,5,0.710359,-0.730806,-0.010224,-1.441165
0,6,1.397921,-1.417235,-0.009657,-2.815156
0,7,0.853422,-0.875631,-0.011105,-1.729053
0,8,0.710359,-0.730806,-0.010224,-1.441165
0,9,1.809242,-1.823612,-0.007185,-3.632855
0,10,4.305048,-4.336825,-0.015889,-8.641873
0,11,2.923145,-2.952522,-0.014689,-5.875667
0,12,0.850340,-0.867975,-0.008817,-1.718315
0,13,-0.015941,0.009260,-0.003340,0.025201
0,14,0.808684,-0.824718,-0.008017,-1.633402
0,15,2.404257,-2.434207,-0.014975,-4.838464
0,16,0.776378,-0.806679,-0.015150,-1.583057
0,17,0.090570,-0.098784,-0.004107,-0.189354
0,18,3.314862,-3.346977,-0.016057,-6.661839
0,19,1.134176,-1.150476,-0.008150,-2.284652
0,20,0.701461,-0.708712,-0.003626,-1.410173
0,21,1.034999,-1.038454,-0.001727,-2.073454
0,22,3.520981,-3.559224,-0.019122,-7.080205
0,23,0.122696,-0.135136,-0.006220,-0.257832
0,24,0.838220,-0.845711,-0.003746,-1.683930
0,25,1.730340,-1.766283,-0.017972,-3.496623
0,26,5.984437,-6.024233,-0.019898,-12.008670
0,27,2.655396,-2.687296,-0.015950,-5.342693
0,28,3.547582,-3.588420,-0.020419,-7.136002
0,29,1.752749,-1.756613,-0.001932,-3.509363
0,30,2.143971,-2.194895,-0.025462,-4.338867
0,31,5.235255,-5.270081,-0.017413,-10.505336
0,32,-1.161234,1.144028,-0.008603,2.305263
0,33,0.462219,-0.500535,-0.019158,-0.962754
0,34,4.032754,-4.074780,-0.021013,-8.107534
0,35,1.085754,-1.099399,-0.006822,-2.185153
0,36,-1.164487,1.168236,0.001874,2.332724
0,37,1.492085,-1.519505,-0.013710,-3.011590
0,38,6.065028,-6.095207,-0.015090,-12.160235
0,39,2.520034,-2.541430,-0.010698,-5.061464
1,0,3.102312,-3.128024,-0.012856,-6.230336
1,1,1.727848,-1.755208,-0.013680,-3.483056
1,2,-1.054735,1.053475,-0.000630,2.108209
1,3,1.044177,-1.067873,-0.011848,-2.112050
1,4,0.265507,-0.272250,-0.003371,-0.537757
1,5,0.699505,-0.707571,-0.004033,-1.407076
1,6,4.596826,-4.637244,-0.020209,-9.234070
1,7,2.633117,-2.669200,-0.018041,-5.302316
1,8,0.444953,-0.455672,-0.005360,-0.900625
1,9,1.926932,-1.942788,-0.007928,-3.869720
1,10,0.824284,-0.846902,-0.011309,-1.671186
1,11,1.641507,-1.669297,-0.013895,-3.310804
1,12,1.348556,-1.366772,-0.009108,-2.715329
1,13,2.763140,-2.787754,-0.012307,-5.550894
1,14,1.951885,-1.979904,-0.014010,-3.931790
1,15,2.088179,-2.123165,-0.017493,-4.211343
1,16,1.720927,-1.736909,-0.007991,-3.457835
1,17,1.019415,-1.036200,-0.008392,-2.055615
1,18,1.891792,-1.918933,-0.013571,-3.810725
1,19,-0.272089,0.274761,0.001336,0.546850
1,20,3.191433,-3.219018,-0.013793,-6.410451
1,21,2.424611,-2.444669,-0.010029,-4.869280
1,22,0.650546,-0.666946,-0.008200,-1.317492
1,23,0.164437,-0.188564,-0.012063,-0.353001
1,24,0.971034,-0.985077,-0.007022,-1.956110
1,25,-1.342905,1.335783,-0.003561,2.678688
1,26,0.616777,-0.640310,-0.011766,-1.257087
1,27,-0.198460,0.188271,-0.005094,0.386731
1,28,2.280234,-2.322142,-0.020954,-4.602376
1,29,-0.744354,0.742285,-0.001034,1.486639
1,30,4.262390,-4.295420,-0.016515,-8.557810
1,31,0.685595,-0.694002,-0.004204,-1.379598
1,32,3.203222,-3.217438,-0.007108,-6.420660
1,33,-0.104534,0.080904,-0.011815,0.185438
1,34,2.150079,-2.175323,-0.012622,-4.325402
1,35,2.139520,-2.171533,-0.016007,-4.311053
1,36,0.068026,-0.078808,-0.005391,-0.146834
1,37,-2.033588,2.017169,-0.008210,4.050757
1,38,0.461912,-0.483248,-0.010668,-0.945160
1,39,1.938707,-1.965686,-0.013489,-3.904393
2,0,-0.657160,0.641155,-0.008002,1.298315
2,1,0.429533,-0.445157,-0.007812,-0.874690
2,2,0.820220,-0.847754,-0.013767,-1.667974
2,3,0.160988,-0.171071,-0.005041,-0.332059
2,4,0.777635,-0.797384,-0.009874,-1.575019
2,5,0.369110,-0.372988,-0.001939,-0.742098
2,6,3.232505,-3.262404,-0.014950,-6.494909
2,7,0.607808,-0.624513,-0.008352,-1.232321
2,8,-0.665995,0.660455,-0.002770,1.326450
2,9,0.972906,-0.980274,-0.003684,-1.953180
2,10,0.573487,-0.591701,-0.009107,-1.165188
2,11,2.216193,-2.251163,-0.017485,-4.467356
2,12,0.804151,-0.832634,-0.014241,-1.636786
2,13,-0.222391,0.208065,-0.007163,0.430456
2,14,1.770075,-1.791225,-0.010575,-3.561300
2,15,-0.139891,0.119351,-0.010270,0.259242
2,16,3.066271,-3.094930,-0.014329,-6.161201
2,17,1.324505,-1.360819,-0.018157,-2.685325
2,18,2.533735,-2.551622,-0.008943,-5.085357
2,19,2.063513,-2.084047,-0.010267,-4.147560
2,20,0.659023,-0.676982,-0.008979,-1.336005
2,21,1.503701,-1.529427,-0.012863,-3.033128
2,22,2.422361,-2.447564,-0.012602,-4.869925
2,23,1.724269,-1.740049,-0.007890,-3.464318
2,24,1.203462,-1.230817,-0.013678,-2.434279
2,25,5.704690,-5.742347,-0.018828,-11.447037
2,26,0.498098,-0.504982,-0.003442,-1.003081
2,27,3.839044,-3.870558,-0.015757,-7.709602
2,28,4.776301,-4.807753,-0.015726,-9.584054
2,29,3.228170,-3.257847,-0.014838,-6.486018
2,30,1.048477,-1.064688,-0.008106,-2.113165
2,31,1.692154,-1.706087,-0.006967,-3.398241
2,32,-0.298693,0.285567,-0.006563,0.584261
2,33,-1.272544,1.271224,-0.000660,2.543768
2,34,3.960392,-3.996983,-0.018296,-7.957374
2,35,1.945455,-1.958272,-0.006408,-3.903727
2,36,1.879511,-1.899579,-0.010034,-3.779090
2,37,1.704990,-1.712919,-0.003965,-3.417909
2,38,1.273689,-1.290254,-0.008283,-2.563942
2,39,-1.502530,1.503883,0.000677,3.006413
3,0,1.066718,-1.097020,-0.015151,-2.163738
3,1,-0.689788,0.673171,-0.008309,1.362959
3,2,0.752359,-0.766148,-0.006895,-1.518507
3,3,-2.008550,2.010663,0.001056,4.019213
3,4,-0.838320,0.842279,0.001979,1.680600
3,5,-0.084854,0.077715,-0.003570,0.162569
3,6,0.985324,-1.007081,-0.010879,-1.992405
3,7,0.781973,-0.786071,-0.002049,-1.568044
3,8,0.018841,-0.030547,-0.005853,-0.049388
3,9,1.814107,-1.828403,-0.007148,-3.642510
