batch,i,z1_nomatch,z2_match,m,gap
0,0,0.158485,-0.149707,0.004389,-0.308192
0,1,-0.115614,0.112183,-0.001715,0.227797
0,2,-0.275378,0.269695,-0.002841,0.545074
0,3,0.338581,-0.365767,-0.013593,-0.704348
0,4,3.911398,-3.945031,-0.016817,-7.856429
0,5,0.111609,-0.107564,0.002022,-0.219173
0,6,0.808684,-0.824718,-0.008017,-1.633402
0,7,0.729020,-0.763936,-0.017458,-1.492955
0,8,0.090570,-0.098784,-0.004107,-0.189354
0,9,-0.723920,0.722522,-0.000699,1.446441
0,10,2.867852,-2.902079,-0.017113,-5.769931
0,11,0.534467,-0.535691,-0.000612,-1.070157
0,12,2.094852,-2.111164,-0.008156,-4.206016
0,13,-1.164487,1.168236,0.001874,2.332724
0,14,0.144267,-0.156504,-0.006119,-0.300771
0,15,1.213076,-1.244710,-0.015817,-2.457786
0,16,2.603379,-2.630585,-0.013603,-5.233964
0,17,0.710359,-0.730806,-0.010224,-1.441165
0,18,2.459703,-2.495873,-0.018085,-4.955576
0,19,2.764482,-2.790051,-0.012785,-5.554533
0,20,0.174663,-0.178026,-0.001681,-0.352689
0,21,4.954767,-4.988352,-0.016792,-9.943119
0,22,4.333314,-4.367531,-0.017108,-8.700845
0,23,1.585660,-1.610976,-0.012658,-3.196637
0,24,0.624044,-0.636297,-0.006126,-1.260341
0,25,3.554474,-3.592515,-0.019020,-7.146989
0,26,4.216806,-4.263379,-0.023286,-8.480186
0,27,1.499183,-1.516062,-0.008439,-3.015245
0,28,3.254679,-3.297510,-0.021415,-6.552189
0,29,3.001062,-3.037265,-0.018101,-6.038327
0,30,2.996749,-3.011396,-0.007324,-6.008146
0,31,1.147613,-1.166418,-0.009403,-2.314032
0,32,0.823822,-0.844649,-0.010414,-1.668470
0,33,1.442786,-1.466540,-0.011877,-2.909327
0,34,2.181934,-2.213979,-0.016022,-4.395913
0,35,4.177659,-4.211824,-0.017082,-8.389483
0,36,5.425427,-5.462091,-0.018332,-10.887519
0,37,0.776378,-0.806679,-0.015150,-1.583057
0,38,4.551946,-4.584032,-0.016043,-9.135977
0,39,0.597171,-0.605679,-0.004254,-1.202849
1,0,1.432769,-1.452551,-0.009891,-2.885320
1,1,0.597280,-0.622580,-0.012650,-1.219860
1,2,-0.272089,0.274761,0.001336,0.546850
1,3,2.210445,-2.237737,-0.013646,-4.448183
1,4,2.238272,-2.259471,-0.010599,-4.497743
1,5,3.231681,-3.260235,-0.014277,-6.491916
1,6,5.569084,-5.614259,-0.022587,-11.183343
1,7,2.754594,-2.776229,-0.010818,-5.530823
1,8,0.461912,-0.483248,-0.010668,-0.945160
1,9,2.091326,-2.116527,-0.012600,-4.207853
1,10,1.591981,-1.604890,-0.006455,-3.196870
1,11,0.344500,-0.349812,-0.002656,-0.694313
1,12,-0.198460,0.188271,-0.005094,0.386731
1,13,3.158582,-3.182116,-0.011767,-6.340698
1,14,2.465388,-2.490121,-0.012367,-4.955509
1,15,4.385269,-4.411639,-0.013185,-8.796908
1,16,-0.744354,0.742285,-0.001034,1.486639
1,17,1.577829,-1.597574,-0.009873,-3.175403
1,18,2.458288,-2.471818,-0.006765,-4.930106
1,19,5.201252,-5.234387,-0.016568,-10.435639
1,20,2.178881,-2.203460,-0.012290,-4.382341
1,21,3.477277,-3.528945,-0.025834,-7.006222
1,22,1.024194,-1.023737,0.000228,-2.047931
1,23,0.905021,-0.925056,-0.010017,-1.830077
1,24,-0.119122,0.097772,-0.010675,0.216894
1,25,1.091722,-1.112034,-0.010156,-2.203756
1,26,0.514821,-0.549426,-0.017302,-1.064247
1,27,1.394401,-1.413049,-0.009324,-2.807449
1,28,1.481190,-1.493186,-0.005998,-2.974377
1,29,-0.229915,0.223096,-0.003410,0.453011
1,30,3.110059,-3.129008,-0.009475,-6.239067
1,31,2.139520,-2.171533,-0.016007,-4.311053
1,32,2.356958,-2.380300,-0.011671,-4.737258
1,33,4.525690,-4.568953,-0.021631,-9.094642
1,34,0.616777,-0.640310,-0.011766,-1.257087
1,35,2.264245,-2.307195,-0.021475,-4.571440
1,36,-2.033588,2.017169,-0.008210,4.050757
1,37,1.318638,-1.336626,-0.008994,-2.655264
1,38,0.375814,-0.389528,-0.006857,-0.765342
1,39,-1.342905,1.335783,-0.003561,2.678688
2,0,0.686989,-0.704580,-0.008796,-1.391569
2,1,0.711274,-0.730081,-0.009403,-1.441355
2,2,0.431269,-0.451427,-0.010079,-0.882696
2,3,0.331430,-0.341250,-0.004910,-0.672680
2,4,0.281113,-0.289536,-0.004212,-0.570649
2,5,-0.572065,0.561300,-0.005383,1.133364
2,6,0.582080,-0.596255,-0.007087,-1.178335
2,7,2.494210,-2.534691,-0.020241,-5.028901
2,8,1.248843,-1.274501,-0.012829,-2.523344
2,9,4.505350,-4.544183,-0.019417,-9.049533
2,10,1.760806,-1.785401,-0.012298,-3.546207
2,11,0.558511,-0.566590,-0.004040,-1.125101
2,12,0.703246,-0.721816,-0.009285,-1.425062
2,13,1.692154,-1.706087,-0.006967,-3.398241
2,14,0.318936,-0.327294,-0.004179,-0.646230
2,15,0.177956,-0.192858,-0.007451,-0.370814
2,16,3.949623,-3.981911,-0.016144,-7.931534
