batch,i,z1_nomatch,z2_match,m,gap
0,0,-2.028859,2.032149,0.001645,4.061008
0,1,-2.767698,2.773946,0.003124,5.541644
0,2,-0.546927,0.551579,0.002326,1.098505
0,3,0.945733,-0.960549,-0.007408,-1.906282
0,4,-4.157650,4.183984,0.013167,8.341634
0,5,-0.393359,0.384618,-0.004371,0.777977
0,6,-1.245733,1.255472,0.004869,2.501205
0,7,0.576217,-0.597548,-0.010666,-1.173766
0,8,0.137564,-0.151983,-0.007210,-0.289547
0,9,-1.452211,1.458462,0.003126,2.910673
0,10,-3.010000,3.019976,0.004988,6.029975
0,11,-2.239914,2.236418,-0.001748,4.476332
0,12,-0.518640,0.496852,-0.010894,1.015493
0,13,-1.380470,1.388209,0.003870,2.768680
0,14,-2.157545,2.156346,-0.000599,4.313890
0,15,-0.134955,0.114192,-0.010381,0.249147
0,16,-0.120698,0.089543,-0.015577,0.210242
0,17,-2.196929,2.203347,0.003209,4.400276
0,18,-0.351836,0.343631,-0.004102,0.695467
0,19,0.111211,-0.122199,-0.005494,-0.233410
0,20,1.538442,-1.557225,-0.009392,-3.095666
0,21,-0.290674,0.290554,-0.000060,0.581228
0,22,-2.053238,2.049486,-0.001876,4.102724
0,23,1.177313,-1.204888,-0.013787,-2.382201
0,24,-1.099687,1.094826,-0.002430,2.194514
0,25,-2.033578,2.019026,-0.007276,4.052604
0,26,-1.252895,1.251629,-0.000633,2.504524
0,27,-2.023948,2.020642,-0.001653,4.044590
0,28,0.869620,-0.906895,-0.018637,-1.776514
0,29,1.151499,-1.167345,-0.007923,-2.318843
0,30,-2.497736,2.485313,-0.006212,4.983050
0,31,-1.299263,1.272751,-0.013256,2.572014
0,32,0.029035,-0.062905,-0.016935,-0.091941
0,33,3.767673,-3.816779,-0.024553,-7.584452
0,34,2.004467,-2.040347,-0.017940,-4.044815
0,35,-4.387331,4.404986,0.008827,8.792318
0,36,2.579056,-2.608035,-0.014490,-5.187091
0,37,0.922323,-0.948331,-0.013004,-1.870654
0,38,-1.418554,1.418882,0.000164,2.837436
0,39,-1.128668,1.127768,-0.000450,2.256435
1,0,-5.117819,5.145983,0.014082,10.263802
1,1,-1.591151,1.572424,-0.009364,3.163576
1,2,-2.642616,2.656162,0.006773,5.298778
1,3,-1.014133,0.992722,-0.010705,2.006855
1,4,0.918929,-0.926208,-0.003640,-1.845137
1,5,-2.405795,2.418293,0.006249,4.824088
1,6,-2.577153,2.578452,0.000649,5.155606
1,7,-4.426448,4.424294,-0.001077,8.850743
1,8,0.756051,-0.776854,-0.010401,-1.532905
1,9,-1.927235,1.929992,0.001379,3.857227
1,10,-3.031664,3.040065,0.004201,6.071729
1,11,-3.131753,3.137050,0.002649,6.268803
1,12,1.774193,-1.795024,-0.010415,-3.569218
1,13,-2.402639,2.405882,0.001621,4.808521
1,14,2.666856,-2.699742,-0.016443,-5.366598
1,15,-5.117809,5.134121,0.008156,10.251930
1,16,-2.607178,2.612581,0.002701,5.219759
1,17,1.143424,-1.156461,-0.006519,-2.299885
1,18,-1.202278,1.195476,-0.003401,2.397754
